"","id","province","district2016","constituency","shp2015","website2015","shp2016","website2016","merge_flag","new_2016","renamed","website2011","website2006","province2006","district2006","website2008.x","common","website2008.y"
"32",32,"Copperbelt","Mufulira","Kantanshi","Kantanshi","Kantanshi","Kantanshi","Kantanshi",0,0,NA,"Kantanshi","Kantanshi","Copperbelt","Mufulira","Kantanshi","Kantanshi","Kantanshi"
"33",33,"Copperbelt","Mufulira","Mufulira","Mufulira","Mufulira","Mufulira","Mufulira",0,0,NA,"Mufulira","Mufulira","Copperbelt","Mufulira","Mufulira","Mufulira","Mufulira"
"34",34,"Copperbelt","Ndola","Bwana Mkubwa","Bwanamkubwa","Bwana Mkubwa","Bwana Mkubwa","Bwana Mkubwa",2,0,"shp2015","Bwana Mkubwa","Bwana Mkubwa","Copperbelt","Ndola","Bwanankubwa","Bwana Mkubwa",NA
"35",35,"Copperbelt","Ndola","Chifubu","Chifubu","Chifubu","Chifubu","Chifubu",0,0,NA,"Chifubu","Chifubu","Copperbelt","Ndola","Chifubu","Chifubu","Chifubu"
"36",36,"Copperbelt","Ndola","Kabushi","Kabushi","Kabushi","Kabushi","Kabushi",0,0,NA,"Kabushi","Kabushi","Copperbelt","Ndola","Kabushi","Kabushi","Kabushi"
"37",37,"Copperbelt","Ndola","Ndola Central","Ndola Central","Ndola Central","Ndola Central","Ndola Central",0,0,NA,"Ndola Central","Ndola Central","Copperbelt","Ndola","Ndola Central","Ndola Central","Ndola Central"
"38",38,"Eastern","Chadiza","Chadiza","Chadiza","Chadiza","Chadiza","Chadiza",0,0,NA,"Chadiza","Chadiza","Eastern","Chadiza","Chadiza","Chadiza","Chadiza"
"39",39,"Eastern","Chipata","Chipangali","Chipangali","Chipangali","Chipangali","Chipangali",0,0,NA,"Chipangali","Chipangali","Eastern","Chipata","Chipangali","Chipangali","Chipangali"
"40",40,"Eastern","Chipata","Chipata Central","Chipata Central","Chipata Central","Chipata Central","Chipata Central",0,0,NA,"Chipata Central","Chipata Central","Eastern","Chipata","Chipata Central","Chipata Central","Chipata Central"
"41",41,"Eastern","Chipata","Kasenengwa","Kasenengwa","Kasenengwa","Kasenengwa","Kasenengwa",0,0,NA,"Kasenengwa","Kasenengwa","Eastern","Chipata","Kasenengwa","Kasenengwa","Kasenengwa"
"42",42,"Eastern","Chipata","Luangeni","Luangeni","Luangeni","Luangeni","Luangeni",0,0,NA,"Luangeni","Luangeni","Eastern","Chipata","Luangeni","Luangeni","Luangeni"
"43",43,"Eastern","Katete","Milanzi","Milanzi","Milanzi","Milanzi","Milanzi",0,0,NA,"Milanzi","Milanzi","Eastern","Katete","Milanzi","Milanzi","Milanzi"
"44",44,"Eastern","Katete","Mkaika","Mkaika","Mkaika","Mkaika","Mkaika",0,0,NA,"Mkaika","Mkaika","Eastern","Katete","Mkaika","Mkaika","Mkaika"
"45",45,"Eastern","Lundazi","Chasefu","Chasefu","Chasefu","Chasefu","Chasefu",0,0,NA,"Chasefu","Chasefu","Eastern","Lundazi","Chasefu","Chasefu","Chasefu"
"46",46,"Eastern","Lundazi","Lumezi","Lumezi","Lumezi","Lumezi","Lumezi",0,0,NA,"Lumezi","Lumezi","Eastern","Lundazi","Lumezi","Lumezi","Lumezi"
"47",47,"Eastern","Lundazi","Lundazi","Lundazi","Lundazi","Lundazi","Lundazi",0,0,NA,"Lundazi","Lundazi","Eastern","Lundazi","Lundazi","Lundazi","Lundazi"
"48",48,"Eastern","Mambwe","Malambo","Malambo","Malambo","Malambo","Malambo",0,0,NA,"Malambo","Malambo","Eastern","Mambwe","Malambo","Malambo","Malambo"
"49",49,"Eastern","Nyimba","Nyimba","Nyimba","Nyimba","Nyimba","Nyimba",0,0,NA,"Nyimba","Nyimba","Eastern","Nyimba","Nyimba","Nyimba","Nyimba"
"50",50,"Eastern","Petauke","Kaumbwe","Kapoche","Kapoche","Kaumbwe","Kaumbwe",2,1,"shp2015, website2015","Kapoche","Kapoche","Eastern","Petauke","Kapoche","Kapoche","Kapoche"
"51",51,"Eastern","Petauke","Msanzala","Msanzala","Msanzala","Msanzala","Msanzala",0,0,NA,"Msanzala","Msanzala","Eastern","Petauke","Msanzala","Msanzala","Msanzala"
"52",52,"Eastern","Petauke","Petauke","Petauke","Petauke","Petauke","Petauke",0,0,NA,"Petauke","Petauke","Eastern","Petauke","Petauke","Petauke","Petauke"
"53",53,"Eastern","Sinda","Kapoche",NA,NA,"Kapoche","Kapoche",2,1,"0",NA,NA,NA,NA,NA,NA,NA
"54",54,"Eastern","Sinda","Sinda","Sinda","Sinda","Sinda","Sinda",0,0,NA,"Sinda","Sinda","Eastern","Katete","Sinda","Sinda","Sinda"
"55",55,"Eastern","Vubwi","Vubwi","Vubwi","Vubwi","Vubwi","Vubwi",0,0,NA,"Vubwi","Vubwi","Eastern","Chadiza","Vubwi","Vubwi","Vubwi"
"56",56,"Luapula","Chembe","Chembe",NA,NA,"Chembe","Chembe",2,1,"0",NA,NA,NA,NA,NA,NA,NA
"57",57,"Luapula","Chienge","Chienge","Chiengi","Chienge","Chienge","Chienge",2,0,"shp2015","Chienge","Chiengi","Luapula","Chiengi","Chienge","Chiengi",NA
"58",58,"Luapula","Chipili","Chipili","Chipili","Chipili","Chipili","Chipili",0,0,NA,"Chipili","Chipili","Luapula","Mwense","Chipili","Chipili","Chipili"
"59",59,"Luapula","Kawambwa","Kawambwa","Kawambwa","Kawambwa","Kawambwa","Kawambwa",0,0,NA,"Kawambwa","Kawambwa","Luapula","Kawambwa","Kawambwa","Kawambwa","Kawambwa"
"60",60,"Luapula","Kawambwa","Pambashe","Pambashe","Pambashe","Pambashe","Pambashe",0,0,NA,"Pambashe","Pambashe","Luapula","Kawambwa","Pambashe","Pambashe","Pambashe"
"61",61,"Luapula","Lunga","Luapula","Luapula","Luapula","Luapula","Luapula",0,0,NA,"Luapula","Luapula","Luapula","Samfya","Luapula","Luapula","Luapula"
"62",62,"Luapula","Mansa","Bahati","Bahati","Bahati","Bahati","Bahati",0,0,NA,"Bahati","Bahati","Luapula","Mansa","Bahati","Bahati","Bahati"
"63",63,"Luapula","Mansa","Mansa Central","Mansa Central","Mansa Central","Mansa Central","Mansa Central",0,0,NA,"Mansa Central","Mansa Central","Luapula","Mansa","Mansa Central","Mansa Central","Mansa Central"
"64",64,"Luapula","Milenge","Milenge","Chembe","Chembe","Milenge","Milenge",2,1,"shp2015, website2015","Chembe","Chembe","Luapula","Milenge","Chembe","Chembe","Chembe"
