"","id","province","district2016","constituency","shp2015","website2015","shp2016","website2016","merge_flag","new_2016","renamed","website2011","website2006","province2006","district2006","website2008.x","common","website2008.y"
"129",129,"Southern","Mazabuka","Mazabuka Central","Mazabuka Central","Mazabuka Central","Mazabuka Central","Mazabuka Central",0,0,NA,"Mazabuka Central","Mazabuka Central","Southern","Mazabuka","Mazabuka Central","Mazabuka Central","Mazabuka Central"
"130",130,"Southern","Monze","Bweengwa","Bweengwa","Bweengwa","Bweengwa","Bweengwa",0,0,NA,"Bweengwa","Bweengwa","Southern","Monze","Bweengwa","Bweengwa","Bweengwa"
"131",131,"Southern","Monze","Monze Central","Monze Central","Monze Central","Monze Central","Monze Central",0,0,NA,"Monze Central","Monze Central","Southern","Monze","Monze Central","Monze Central","Monze Central"
"132",132,"Southern","Monze","Moomba","Moomba","Moomba","Moomba","Moomba",0,0,NA,"Moomba","Moomba","Southern","Monze","Moomba","Moomba","Moomba"
"133",133,"Southern","Namwala","Namwala","Namwala","Namwala","Namwala","Namwala",0,0,NA,"Namwala","Namwala","Southern","Namwala","Namwala","Namwala","Namwala"
"134",134,"Southern","Pemba","Pemba","Pemba","Pemba","Pemba","Pemba",0,0,NA,"Pemba","Pemba","Southern","Choma","Pemba","Pemba","Pemba"
"135",135,"Southern","Siavonga","Siavonga","Siavonga","Siavonga","Siavonga","Siavonga",0,0,NA,"Siavonga","Siavonga","Southern","Siavonga","Siavonga","Siavonga","Siavonga"
"136",136,"Southern","Sinazongwe","Sinazongwe","Sinazongwe","Sinazongwe","Sinazongwe","Sinazongwe",0,0,NA,"Sinazongwe","Sinazongwe","Southern","Sinazongwe","Sinazongwe","Sinazongwe","Sinazongwe"
"137",137,"Southern","Zimba","Mapatizya","Mapatizya","Mapatizya","Mapatizya","Mapatizya",0,0,NA,"Mapatizya","Mapatizya","Southern","Kalomo","Mapatizya","Mapatizya","Mapatizya"
"138",138,"Western","Kalabo","Kalabo Central","Kalabo Central","Kalabo Central","Kalabo Central","Kalabo Central",0,0,NA,"Kalabo Central","Kalabo Central","Western","Kalabo","Kalabo Central","Kalabo Central","Kalabo Central"
"139",139,"Western","Kalabo","Liuwa","Liuwa","Liuwa","Liuwa","Liuwa",0,0,NA,"Liuwa","Liuwa","Western","Kalabo","Liuwa","Liuwa","Liuwa"
"140",140,"Western","Kaoma","Kaoma Central","Kaoma Central","Kaoma Central","Kaoma Central","Kaoma Central",0,0,NA,"Kaoma Central","Kaoma Central","Western","Kaoma","Kaoma Central","Kaoma Central","Kaoma Central"
"141",141,"Western","Kaoma","Mangango","Mangango","Mangango","Mangango","Mangango",0,0,NA,"Mangango","Mangango","Western","Kaoma","Mangango","Mangango","Mangango"
"142",142,"Western","Limulunga","Luena","Luena","Luena","Luena","Luena",0,0,NA,"Luena","Luena","Western","Mongu","Luena","Luena","Luena"
"143",143,"Western","Luampa","Luampa","Luampa","Luampa","Luampa","Luampa",0,0,NA,"Luampa","Luampa","Western","Kaoma","Luampa","Luampa","Luampa"
"144",144,"Western","Lukulu","Lukulu East","Lukulu East","Lukulu East","Lukulu East","Lukulu East",0,0,NA,"Lukulu East","Lukulu East","Western","Lukulu","Lukulu East","Lukulu East","Lukulu East"
"145",145,"Western","Mitete","Mitete","Lukulu West","Lukulu West","Lukulu West","Mitete",2,0,"shp2015, website2015","Lukulu West","Lukulu West","Western","Lukulu","Lukulu West","Lukulu West","Lukulu West"
"146",146,"Western","Mongu","Mongu Central","Mongu Central","Mongu Central","Mongu Central","Mongu Central",0,0,NA,"Mongu Central","Mongu Central","Western","Mongu","Mongu Central","Mongu Central","Mongu Central"
"147",147,"Western","Mongu","Nalikwanda","Nalikwanda","Nalikwanda","Nalikwanda","Nalikwanda",0,0,NA,"Nalikwanda","Nalikwanda","Western","Mongu","Nalikwanda","Nalikwanda","Nalikwanda"
"148",148,"Western","Mulobezi","Mulobezi","Mulobezi","Mulobezi","Mulobezi","Mulobezi",0,0,NA,"Mulobezi","Mulobezi","Western","Sesheke","Mulobezi","Mulobezi","Mulobezi"
"149",149,"Western","Mwandi","Mwandi","Mwandi","Mwandi","Mwandi","Mwandi",0,0,NA,"Mwandi","Mwandi","Western","Sesheke","Mwandi","Mwandi","Mwandi"
"150",150,"Western","Nalolo","Nalolo","Nalolo","Nalolo","Nalolo","Nalolo",0,0,NA,"Nalolo","Nalolo","Western","Senanga","Nalolo","Nalolo","Nalolo"
"151",151,"Western","Nkeyema","Nkeyema",NA,NA,"Nkeyema","Nkeyema",2,1,"0",NA,NA,NA,NA,NA,NA,NA
"152",152,"Western","Senanga","Senanga","Senanga Central","Senanga","Senanga","Senanga",2,0,"shp2015","Senanga","Senanga Central","Western","Senanga","Senanga","Senanga Central",NA
"153",153,"Western","Sesheke","Sesheke","Sesheke Central","Sesheke","Sesheke","Sesheke",2,0,"shp2015","Sesheke","Sesheke Central","Western","Sesheke","Sesheke","Sesheke Central",NA
"154",154,"Western","Shangombo","Shangombo","Sinjembela","Sinjembela","Shang'ombo","Shangombo",2,0,"shp2015, website2015","Sinjembela","Sinjembela","Western","Shangombo","Sinjembela","Sinjembela","Sinjembela"
"155",155,"Western","Sikongo","Sikongo","Sikongo","Sikongo","Sikongo","Sikongo",0,0,NA,"Sikongo","Sikongo","Western","Kalabo","Sikongo","Sikongo","Sikongo"
"156",156,"Western","Sioma","Sioma",NA,NA,"Sioma","Sioma",2,1,"0",NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bwanankubwa","Bwanankubwa"
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chama North","Chama North"
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chienge","Chienge"
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serenje","Serenje"
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mpika","Mpika"
"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Itezhitezhi","Itezhitezhi"
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Senanga","Senanga"
"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sesheke","Sesheke"
