"","lastname","firstname","Photo","Party","Votes","constituency","candidate","votes","pct_votes","rank","won","margin_victory","pct_margin","province","district"
"493","MUTABA","Sililo O",NA,"UPND","6,929","Mwandi","Sililo O Mutaba",6929,0.726005867560771,1,1,4679,0.490255658005029,"Western","Mwandi"
"494","KAINGU","Michael L",NA,"PF","2,250","Mwandi","Michael L Kaingu",2250,0.235750209555742,2,0,NA,NA,"Western","Mwandi"
"495","MUKUKA","Akalemwa",NA,"MMD","252","Mwandi","Akalemwa Mukuka",252,0.0264040234702431,3,0,NA,NA,"Western","Mwandi"
"496","SITUMBEKO","Justin",NA,"RAINBOW","77","Mwandi","Justin Situmbeko",77,0.00806789606035205,4,0,NA,NA,"Western","Mwandi"
"497","KALUMBU","Situmbeko A",NA,"FDD","36","Mwandi","Situmbeko A Kalumbu",36,0.00377200335289187,5,0,NA,NA,"Western","Mwandi"
"498","MWEWA","Rodgers",NA,"PF","7,625","Mwansabombwe","Rodgers Mwewa",7625,0.610439516451845,1,1,4696,0.375950684492835,"Luapula","Mwansabombwe"
"499","MALUBA","Sunday C",NA,"MMD","2,929","Mwansabombwe","Sunday C Maluba",2929,0.23448883195901,2,0,NA,NA,"Luapula","Mwansabombwe"
"500","CHITONGE","Samuel",NA,"UDF","1,080","Mwansabombwe","Samuel Chitonge",1080,0.0864622528220319,3,0,NA,NA,"Luapula","Mwansabombwe"
"501","KAMANGALA","Mable K",NA,"UPND","857","Mwansabombwe","Mable K Kamangala",857,0.0686093987671123,4,0,NA,NA,"Luapula","Mwansabombwe"
"502","JAMBA","Machila",NA,"IND","9,631","Mwembezhi","Machila Jamba",9631,0.47913039152281,1,1,1199,0.0596487736928511,"Lusaka","Shibuyunji"
"503","MILAMBO","Austin C",NA,"UPND","8,432","Mwembezhi","Austin C Milambo",8432,0.419481617829959,2,0,NA,NA,"Lusaka","Shibuyunji"
"504","CHIPONGWE","Pamela",NA,"PF","1,597","Mwembezhi","Pamela Chipongwe",1597,0.0794487836426048,3,0,NA,NA,"Lusaka","Shibuyunji"
"505","SHANSENGO","Chikunse S",NA,"RAINBOW","359","Mwembezhi","Chikunse S Shansengo",359,0.0178598079697527,4,0,NA,NA,"Lusaka","Shibuyunji"
"506","MWANGALA","Oliver M",NA,"FDD","82","Mwembezhi","Oliver M Mwangala",82,0.00407939903487389,5,0,NA,NA,"Lusaka","Shibuyunji"
"507","MABUMBA","David",NA,"PF","11,670","Mwense","David Mabumba",11670,0.744212741534341,1,1,8997,0.573751674000383,"Luapula","Mwense"
"508","KASALWE","Chansa",NA,"IND","2,673","Mwense","Chansa Kasalwe",2673,0.170461067533958,2,0,NA,NA,"Luapula","Mwense"
"509","CHIKOTA","Justina",NA,"UPND","1,172","Mwense","Justina Chikota",1172,0.0747401313691729,3,0,NA,NA,"Luapula","Mwense"
"510","KABASO","James Y",NA,"FDD","166","Mwense","James Y Kabaso",166,0.0105860595625279,4,0,NA,NA,"Luapula","Mwense"
"511","SAMAKAYI","Newton",NA,"UPND","32,645","Mwinilunga","Newton Samakayi",32645,0.918413278942186,1,1,29745,0.836826557884372,"North-Western","Mwinilunga"
"512","KAPAIPI","Jonathan",NA,"PF","2,900","Mwinilunga","Jonathan Kapaipi",2900,0.081586721057814,2,0,NA,NA,"North-Western","Mwinilunga"
"513","SIWANZI","Yizukanji",NA,"PF","17,989","Nakonde","Yizukanji Siwanzi",17989,0.700070049813201,1,1,12385,0.481981631382316,"Muchinga","Nakonde"
"514","SINYANGWE","Charles B",NA,"UPND","5,604","Nakonde","Charles B Sinyangwe",5604,0.218088418430884,2,0,NA,NA,"Muchinga","Nakonde"
"515","SIAME","Kingfred",NA,"FDD","1,155","Nakonde","Kingfred Siame",1155,0.0449486301369863,3,0,NA,NA,"Muchinga","Nakonde"
"516","SIAME","George",NA,"RAINBOW","948","Nakonde","George Siame",948,0.036892901618929,4,0,NA,NA,"Muchinga","Nakonde"
"517","LUNGWANGWA","Lungwangwa G",NA,"UPND","9,814","Nalikwanda","Lungwangwa G Lungwangwa",9814,0.858242238740708,1,1,8193,0.716484477481417,"Western","Mongu"
"518","NAYUNDA","Samuel M",NA,"PF","1,621","Nalikwanda","Samuel M Nayunda",1621,0.141757761259292,2,0,NA,NA,"Western","Mongu"
"519","IMBUWA","George M",NA,"IND","5,060","Nalolo","George M Imbuwa",5060,0.335143727646046,1,1,181,0.0119883428268645,"Western","Nalolo"
"520","MUTANGA","Belinda M L",NA,"UPND","4,879","Nalolo","Belinda M L Mutanga",4879,0.323155384819181,2,0,NA,NA,"Western","Nalolo"
"521","MUNDIA","Kaywala E",NA,"PF","4,455","Nalolo","Kaywala E Mundia",4455,0.295072194992714,3,0,NA,NA,"Western","Nalolo"
"522","AKAYOMBOKWA","Catherine N",NA,"FDD","590","Nalolo","Catherine N Akayombokwa",590,0.039078023579282,4,0,NA,NA,"Western","Nalolo"
"523","IMALIMBILA","Namabunga A",NA,"UNIP","114","Nalolo","Namabunga A Imalimbila",114,0.00755066896277653,5,0,NA,NA,"Western","Nalolo"
"524","LUBEZHI","Moono",NA,"UPND","31,663","Namwala","Moono Lubezhi",31663,0.879527777777778,1,1,29367,0.81575,"Southern","Namwala"
"525","KABONGOMANA","Charity",NA,"FDD","2,296","Namwala","Charity Kabongomana",2296,0.0637777777777778,2,0,NA,NA,"Southern","Namwala"
"526","CHIKWATA","Kelvin",NA,"PF","2,041","Namwala","Kelvin Chikwata",2041,0.0566944444444444,3,0,NA,NA,"Southern","Namwala"
"527","HAMUSONDE","Boyd",NA,"IND","10,107","Nangoma","Boyd Hamusonde",10107,0.492591870552685,1,1,912,0.0444487766838873,"Central","Mumbwa"
"528","NZOVU","Collins",NA,"UPND","9,195","Nangoma","Collins Nzovu",9195,0.448143093868798,2,0,NA,NA,"Central","Mumbwa"
"529","NSHIMBI","Samuel",NA,"PF","953","Nangoma","Samuel Nshimbi",953,0.046447022126913,3,0,NA,NA,"Central","Mumbwa"
"530","KASANZALE","Edith",NA,"FDD","263","Nangoma","Edith Kasanzale",263,0.0128180134516035,4,0,NA,NA,"Central","Mumbwa"
"531","CHALI","Chilombo",NA,"PF","12,214","Nchanga","Chilombo Chali",12214,0.474219599316664,1,1,4350,0.168892685199565,"Copperbelt","Chingola"
"532","CHILUNDIKA","Derricky",NA,"UPND","7,864","Nchanga","Derricky Chilundika",7864,0.305326914117099,2,0,NA,NA,"Copperbelt","Chingola"
"533","KABEMBA","Judith",NA,"NAREP","5,381","Nchanga","Judith Kabemba",5381,0.208922192887094,3,0,NA,NA,"Copperbelt","Chingola"
"534","LUONDE","Richard S",NA,"RAINBOW","184","Nchanga","Richard S Luonde",184,0.00714396645441839,4,0,NA,NA,"Copperbelt","Chingola"
"535","MUTWALE","Chanda",NA,"IND","113","Nchanga","Chanda Mutwale",113,0.00438732722472434,5,0,NA,NA,"Copperbelt","Chingola"
"536","MALAMA","Anthony B",NA,"PF","17,653","Nchelenge","Anthony B Malama",17653,0.635548675115207,1,1,12684,0.456653225806452,"Luapula","Nchelenge"
"537","NDEBELE","Eddie",NA,"UPND","4,969","Nchelenge","Eddie Ndebele",4969,0.178895449308756,2,0,NA,NA,"Luapula","Nchelenge"
"538","CHISHA","Teddy M",NA,"IND","3,168","Nchelenge","Teddy M Chisha",3168,0.114055299539171,3,0,NA,NA,"Luapula","Nchelenge"
"539","BWALYA","Nsakasha",NA,"UNIP","906","Nchelenge","Nsakasha Bwalya",906,0.0326180875576037,4,0,NA,NA,"Luapula","Nchelenge"
"540","TOKA","David C",NA,"IND","595","Nchelenge","David C Toka",595,0.0214213709677419,5,0,NA,NA,"Luapula","Nchelenge"
"541","CHISAKULA","Christopher",NA,"RAINBOW","243","Nchelenge","Christopher Chisakula",243,0.0087485599078341,6,0,NA,NA,"Luapula","Nchelenge"
"542","MWALE","Kabwe K",NA,"FDD","242","Nchelenge","Kabwe K Mwale",242,0.00871255760368664,7,0,NA,NA,"Luapula","Nchelenge"
"543","MULENGA","Emmanuel",NA,"PF","22,440","Ndola Central","Emmanuel Mulenga",22440,0.665875370919881,1,1,12983,0.385252225519288,"Copperbelt","Ndola"
"544","KONIE","Victor",NA,"UPND","9,457","Ndola Central","Victor Konie",9457,0.280623145400593,2,0,NA,NA,"Copperbelt","Ndola"
"545","NEWA","Moses R",NA,"IND","1,181","Ndola Central","Moses R Newa",1181,0.0350445103857567,3,0,NA,NA,"Copperbelt","Ndola"
"546","WILIMA","William",NA,"FDD","338","Ndola Central","William Wilima",338,0.0100296735905045,4,0,NA,NA,"Copperbelt","Ndola"
"547","MWEWA","Robert J",NA,"RAINBOW","284","Ndola Central","Robert J Mwewa",284,0.0084272997032641,5,0,NA,NA,"Copperbelt","Ndola"
"548","CHITEME","Alexander",NA,"PF","18,993","Nkana","Alexander Chiteme",18993,0.709965610047847,1,1,12000,0.448564593301435,"Copperbelt","Kitwe"
"549","KATETE","Divo",NA,"UPND","6,993","Nkana","Divo Katete",6993,0.261401016746411,2,0,NA,NA,"Copperbelt","Kitwe"
"550","MULEBI","Ernest",NA,"FDD","537","Nkana","Ernest Mulebi",537,0.0200732655502392,3,0,NA,NA,"Copperbelt","Kitwe"
"551","MWALE","Faston",NA,"RAINBOW","229","Nkana","Faston Mwale",229,0.00856010765550239,4,0,NA,NA,"Copperbelt","Kitwe"
"552","MBANGWETA","Kapelwa",NA,"UPND","7,689","Nkeyema","Kapelwa Mbangweta",7689,0.637615059291815,1,1,4924,0.408325731818559,"Western","Nkeyema"
"553","ANTONIO","Carlos J",NA,"IND","2,765","Nkeyema","Carlos J Antonio",2765,0.229289327473256,2,0,NA,NA,"Western","Nkeyema"
"554","KAUNGU","Ethel W",NA,"PF","1,344","Nkeyema","Ethel W Kaungu",1344,0.111452027531304,3,0,NA,NA,"Western","Nkeyema"
"555","MUTI","Justin K",NA,"FDD","181","Nkeyema","Justin K Muti",181,0.0150095364458081,4,0,NA,NA,"Western","Nkeyema"
"556","YUVWENU","Kashandola",NA,"IND","80","Nkeyema","Kashandola Yuvwenu",80,0.00663404925781574,5,0,NA,NA,"Western","Nkeyema"
"557","PHIRI","Olipa M",NA,"PF","9,650","Nyimba","Olipa M Phiri",9650,0.479956231970556,1,1,1660,0.0825624191783547,"Eastern","Nyimba"
"558","ZULU","Menyani",NA,"IND","7,990","Nyimba","Menyani Zulu",7990,0.397393812792201,2,0,NA,NA,"Eastern","Nyimba"
"559","CHIVUNGULA","Philip T",NA,"UPND","1,445","Nyimba","Philip T Chivungula",1445,0.0718690938028449,3,0,NA,NA,"Eastern","Nyimba"
"560","TEMBO","Edson",NA,"MMD","554","Nyimba","Edson Tembo",554,0.0275539639908485,4,0,NA,NA,"Eastern","Nyimba"
"561","MUMBA","Justin DP",NA,"FDD","467","Nyimba","Justin Dp Mumba",467,0.0232268974435492,5,0,NA,NA,"Eastern","Nyimba"
"562","CHITOTELA","Ronald K",NA,"PF","7,482","Pambashe","Ronald K Chitotela",7482,0.667023268253544,1,1,4455,0.397165017384327,"Luapula","Kawambwa"
"563","KANUNSHA","Honorato",NA,"UPND","3,027","Pambashe","Honorato Kanunsha",3027,0.269858250869216,2,0,NA,NA,"Luapula","Kawambwa"
"564","CHUNGU","Justin K",NA,"IND","630","Pambashe","Justin K Chungu",630,0.0561647499331372,3,0,NA,NA,"Luapula","Kawambwa"
"565","WAPALWENA","Charles",NA,"FDD","78","Pambashe","Charles Wapalwena",78,0.0069537309441027,4,0,NA,NA,"Luapula","Kawambwa"
"566","MAZOKA","Christine M",NA,"UPND","23,903","Pemba","Christine M Mazoka",23903,0.923930269413629,1,1,23043,0.890688415600479,"Southern","Pemba"
"567","MILUMBE","Killious T",NA,"FDD","860","Pemba","Killious T Milumbe",860,0.0332418538131499,2,0,NA,NA,"Southern","Pemba"
"568","KOOMA","Hanyenzu H",NA,"RAINBOW","593","Pemba","Hanyenzu H Kooma",593,0.0229214178037184,3,0,NA,NA,"Southern","Pemba"
"569","HAMUCHENJE","Gerald",NA,"PF","515","Pemba","Gerald Hamuchenje",515,0.0199064589695025,4,0,NA,NA,"Southern","Pemba"
"570","SILIYA","Dora",NA,"PF","23,037","Petauke","Dora Siliya",23037,0.659745689902056,1,1,12974,0.371556217423678,"Eastern","Petauke"
"571","BANDA","Emmanuel J",NA,"IND","10,063","Petauke","Emmanuel J Banda",10063,0.288189472478378,2,0,NA,NA,"Eastern","Petauke"
"572","TEMBO","Mike",NA,"UPND","1,039","Petauke","Mike Tembo",1039,0.0297554270004009,3,0,NA,NA,"Eastern","Petauke"
"573","PHIRI","Ignasio AS",NA,"UNIP","299","Petauke","Ignasio As Phiri",299,0.00856291883842144,4,0,NA,NA,"Eastern","Petauke"
"574","PHIRI","Abel",NA,"FDD","280","Petauke","Abel Phiri",280,0.00801878687210035,5,0,NA,NA,"Eastern","Petauke"
"575","CHANGA","Josab",NA,"UDF","200","Petauke","Josab Changa",200,0.00572770490864311,6,0,NA,NA,"Eastern","Petauke"
"576","KAMBWILI","Chishimba",NA,"PF","11,397","Roan","Chishimba Kambwili",11397,0.581271994695772,1,1,6298,0.321211812107921,"Copperbelt","Luanshya"
"577","KAYEKESI","Andrew K",NA,"UPND","5,099","Roan","Andrew K Kayekesi",5099,0.260060182587851,2,0,NA,NA,"Copperbelt","Luanshya"
"578","MUNSANJE","Ditar M",NA,"IND","1,857","Roan","Ditar M Munsanje",1857,0.0947110725761208,3,0,NA,NA,"Copperbelt","Luanshya"
"579","MULENGA","Basilio K",NA,"FDD","888","Roan","Basilio K Mulenga",888,0.0452899474677411,4,0,NA,NA,"Copperbelt","Luanshya"
"580","CHIBWE","Daniel",NA,"RAINBOW","366","Roan","Daniel Chibwe",366,0.0186668026725149,5,0,NA,NA,"Copperbelt","Luanshya"
"581","MULYATA","Sheal S",NA,"UPND","5,709","Rufunsa","Sheal S Mulyata",5709,0.540471456972451,1,1,1127,0.106693174287608,"Lusaka","Rufunsa"
"582","CHIPUNGU","Kenneth",NA,"PF","4,582","Rufunsa","Kenneth Chipungu",4582,0.433778282684843,2,0,NA,NA,"Lusaka","Rufunsa"
"583","KANDYATA","John",NA,"FDD","272","Rufunsa","John Kandyata",272,0.0257502603427057,3,0,NA,NA,"Lusaka","Rufunsa"
"584","MULOWA","Mukumbuta",NA,"UPND","14,497","Senanga","Mukumbuta Mulowa",14497,0.731137784950575,1,1,11950,0.602683074440186,"Western","Senanga"
"585","LANCE","Martin",NA,"PF","2,547","Senanga","Martin Lance",2547,0.128454710510389,2,0,NA,NA,"Western","Senanga"
"586","SIYUMBANO","Kufanga A",NA,"MMD","1,441","Senanga","Kufanga A Siyumbano",1441,0.072675005043373,3,0,NA,NA,"Western","Senanga"
"587","LUBINDA","Wakuňuma",NA,"ADD","670","Senanga","Wakuňuma Lubinda",670,0.0337905991527133,4,0,NA,NA,"Western","Senanga"
"588","MUKONDA","Justine L",NA,"UNIP","349","Senanga","Justine L Mukonda",349,0.0176013717974581,5,0,NA,NA,"Western","Senanga"
"589","MWIYA","Beatrice M",NA,"FDD","324","Senanga","Beatrice M Mwiya",324,0.0163405285454912,6,0,NA,NA,"Western","Senanga"
"590","SIMBAO","Kapembwa N",NA,"PF","9,410","Senga Hill","Kapembwa N Simbao",9410,0.437166085946574,1,1,1065,0.0494773519163763,"Northern","Mbala"
"591","YAMBAYAMBA","Giles C",NA,"UPND","8,345","Senga Hill","Giles C Yambayamba",8345,0.387688734030197,2,0,NA,NA,"Northern","Mbala"
"592","SALASINI","Joseph S",NA,"IND","2,821","Senga Hill","Joseph S Salasini",2821,0.131056910569106,3,0,NA,NA,"Northern","Mbala"
"593","NDAWA","Dennis",NA,"FDD","626","Senga Hill","Dennis Ndawa",626,0.029082462253194,4,0,NA,NA,"Northern","Mbala"
"594","SALALE","Cosmas",NA,"ADD","323","Senga Hill","Cosmas Salale",323,0.0150058072009292,5,0,NA,NA,"Northern","Mbala"
"595","KABANDA","Maxwell M",NA,"MMD","5,427","Serenje","Maxwell M Kabanda",5427,0.44955268389662,1,1,213,0.0176441351888668,"Central","Serenje"
"596","KOSAMU","Phillip",NA,"PF","5,214","Serenje","Phillip Kosamu",5214,0.431908548707753,2,0,NA,NA,"Central","Serenje"
"597","CHIKAMBA","Clarissa",NA,"UPND","1,431","Serenje","Clarissa Chikamba",1431,0.118538767395626,3,0,NA,NA,"Central","Serenje"
"598","KUFAKWANDI","Frank S",NA,"UPND","13,069","Sesheke","Frank S Kufakwandi",13069,0.816353301268037,1,1,10129,0.632706602536073,"Western","Sesheke"
"599","NAMAWA","Sililo",NA,"PF","2,940","Sesheke","Sililo Namawa",2940,0.183646698731963,2,0,NA,NA,"Western","Sesheke"
"600","MUBIKA","Mubika",NA,"UPND","10,128","Shangombo","Mubika Mubika",10128,0.647487533563483,1,1,4614,0.294975067126966,"Western","Shangombo"
"601","NJEULU","Poniso",NA,"PF","5,514","Shangombo","Poniso Njeulu",5514,0.352512466436517,2,0,NA,NA,"Western","Shangombo"
"602","KAMPYONGO","Stephen",NA,"PF","10,688","Shiwan'gandu","Stephen Kampyongo",10688,0.608517421999545,1,1,8863,0.504611705761785,"Muchinga","Shiwan'gandu"
"603","CHANDA","Kingfred E",NA,"IND","1,825","Shiwan'gandu","Kingfred E Chanda",1825,0.103905716237759,2,0,NA,NA,"Muchinga","Shiwan'gandu"
"604","KALUBA","Martin T",NA,"IND","1,691","Shiwan'gandu","Martin T Kaluba",1691,0.096276474607151,3,0,NA,NA,"Muchinga","Shiwan'gandu"
"605","MUBANGA","Elias",NA,"UPND","1,461","Shiwan'gandu","Elias Mubanga",1461,0.0831815076292416,4,0,NA,NA,"Muchinga","Shiwan'gandu"
"606","CHANDA","Jonas K",NA,"RAINBOW","781","Shiwan'gandu","Jonas K Chanda",781,0.0444659530858574,5,0,NA,NA,"Muchinga","Shiwan'gandu"
"607","MULENGA","Holland C",NA,"IND","775","Shiwan'gandu","Holland C Mulenga",775,0.0441243452516511,6,0,NA,NA,"Muchinga","Shiwan'gandu"
"608","LESA","Gwendoline",NA,"FDD","343","Shiwan'gandu","Gwendoline Lesa",343,0.0195285811887953,7,0,NA,NA,"Muchinga","Shiwan'gandu"
"609","MULUNDA","Darius",NA,"UPND","15,767","Siavonga","Darius Mulunda",15767,0.851993947908786,1,1,13028,0.703987895817573,"Southern","Siavonga"
"610","MWEETWA","Brave",NA,"PF","2,739","Siavonga","Brave Mweetwa",2739,0.148006052091214,2,0,NA,NA,"Southern","Siavonga"
"611","NDALAMEI","Mundia",NA,"UPND","7,740","Sikongo","Mundia Ndalamei",7740,0.595476227111863,1,1,2573,0.19795353131251,"Western","Sikongo"
"612","KUFUKA","Kufuka",NA,"PF","5,167","Sikongo","Kufuka Kufuka",5167,0.397522695799354,2,0,NA,NA,"Western","Sikongo"
"613","KUTAUKA","Munukayumbwa M",NA,"FDD","91","Sikongo","Munukayumbwa M Kutauka",91,0.00700107708878289,3,0,NA,NA,"Western","Sikongo"
"614","SIALUBALO","Gift S",NA,"UPND","34,397","Sinazongwe","Gift S Sialubalo",34397,0.807687792049217,1,1,28226,0.662784417780074,"Southern","Sinazongwe"
"615","SIAMUNENE","Richwell",NA,"PF","6,171","Sinazongwe","Richwell Siamunene",6171,0.144903374269143,2,0,NA,NA,"Southern","Sinazongwe"
"616","SHANZA","Neddy",NA,"IND","1,932","Sinazongwe","Neddy Shanza",1932,0.0453659567473642,3,0,NA,NA,"Southern","Sinazongwe"
"617","SIMUNYIKA","Fudick",NA,"FDD","87","Sinazongwe","Fudick Simunyika",87,0.00204287693427572,4,0,NA,NA,"Southern","Sinazongwe"
"618","TEMBO","Masauso K",NA,"IND","7,193","Sinda","Masauso K Tembo",7193,0.465717060537391,1,1,1685,0.109096795079314,"Eastern","Sinda"
"619","NGOMA","Levy J",NA,"UPND","5,508","Sinda","Levy J Ngoma",5508,0.356620265458077,2,0,NA,NA,"Eastern","Sinda"
"620","BANDA","Gladys",NA,"PF","2,744","Sinda","Gladys Banda",2744,0.177662674004532,3,0,NA,NA,"Eastern","Sinda"
"621","SUBULWA","Mbololwa",NA,"IND","4,288","Sioma","Mbololwa Subulwa",4288,0.362192752766281,1,1,326,0.0275361094687051,"Western","Sioma"
"622","MUBIANA","Mutomena",NA,"PF","3,962","Sioma","Mutomena Mubiana",3962,0.334656643297576,2,0,NA,NA,"Western","Sioma"
"623","MANDANDI","Kaliye",NA,"UPND","3,387","Sioma","Kaliye Mandandi",3387,0.286088352056762,3,0,NA,NA,"Western","Sioma"
"624","NYAMBE","Newton N",NA,"FDD","137","Sioma","Newton N Nyambe",137,0.0115719233043331,4,0,NA,NA,"Western","Sioma"
"625","SITALI","Sitali B",NA,"ADD","65","Sioma","Sitali B Sitali",65,0.00549032857504857,5,0,NA,NA,"Western","Sioma"
"626","MULUSA","Stafford",NA,"UPND","35,205","Solwezi Central","Stafford Mulusa",35205,0.762805512220489,1,1,24665,0.534429710521754,"North-Western","Solwezi"
"627","KAFWAYA","Dawson",NA,"PF","10,540","Solwezi Central","Dawson Kafwaya",10540,0.228375801698735,2,0,NA,NA,"North-Western","Solwezi"
"628","MWANSA","Monty K",NA,"GREENS","407","Solwezi Central","Monty K Mwansa",407,0.00881868608077657,3,0,NA,NA,"North-Western","Solwezi"
"629","KINTU","Leaky",NA,"UPND","6,638","Solwezi East","Leaky Kintu",6638,0.695151324746047,1,1,4124,0.431877683527071,"North-Western","Solwezi"
"630","TAIMA","Richard",NA,"PF","2,514","Solwezi East","Richard Taima",2514,0.263273641218976,2,0,NA,NA,"North-Western","Solwezi"
"631","KAFUNGA","Wilson",NA,"FDD","397","Solwezi East","Wilson Kafunga",397,0.0415750340349775,3,0,NA,NA,"North-Western","Solwezi"
"632","KASONSO","Teddy J",NA,"UPND","20,419","Solwezi West","Teddy J Kasonso",20419,0.797991245896514,1,1,17733,0.693020165702673,"North-Western","Solwezi"
"633","BUKONKE","Nathan B",NA,"FDD","2,686","Solwezi West","Nathan B Bukonke",2686,0.104971080193841,2,0,NA,NA,"North-Western","Solwezi"
"634","DAUCHI","Marjorie K",NA,"PF","2,483","Solwezi West","Marjorie K Dauchi",2483,0.0970376739096451,3,0,NA,NA,"North-Western","Solwezi"
"635","MITI","Margaret",NA,"PF","4,919","Vubwi","Margaret Miti",4919,0.553193882141251,1,1,2121,0.238529014844804,"Eastern","Vubwi"
"636","PHIRI","Alfonso K",NA,"UPND","2,798","Vubwi","Alfonso K Phiri",2798,0.314664867296446,2,0,NA,NA,"Eastern","Vubwi"
"637","MWALE","Vincent I",NA,"UDF","553","Vubwi","Vincent I Mwale",553,0.0621907332433648,3,0,NA,NA,"Eastern","Vubwi"
"638","BANDA","Exerviel",NA,"FDD","348","Vubwi","Exerviel Banda",348,0.039136302294197,4,0,NA,NA,"Eastern","Vubwi"
"639","BANDA","Dominic",NA,"RAINBOW","274","Vubwi","Dominic Banda",274,0.0308142150247413,5,0,NA,NA,"Eastern","Vubwi"
"640","KALOBO","Pavyuma",NA,"IND","14,062","Wusakile","Pavyuma Kalobo",14062,0.534067603494113,1,1,5817,0.220926699582226,"Copperbelt","Kitwe"
"641","SIMWIZYE","Ackson",NA,"PF","8,245","Wusakile","Ackson Simwizye",8245,0.313140903911888,2,0,NA,NA,"Copperbelt","Kitwe"
"642","SIKUFELE","Mundia",NA,"UPND","2,650","Wusakile","Mundia Sikufele",2650,0.100645651348272,3,0,NA,NA,"Copperbelt","Kitwe"
"643","CHISALA","Kazenene",NA,"IND","1,222","Wusakile","Kazenene Chisala",1222,0.0464109380934295,4,0,NA,NA,"Copperbelt","Kitwe"
"644","KATOKA","Justin",NA,"FDD","151","Wusakile","Justin Katoka",151,0.00573490315229776,5,0,NA,NA,"Copperbelt","Kitwe"
"645","KAMBITA","Brian",NA,"UPND","11,776","Zambezi East","Brian Kambita",11776,0.694913253865219,1,1,7381,0.435560014162634,"North-Western","Zambezi"
"646","KANKINZA","Kenneth K",NA,"PF","4,395","Zambezi East","Kenneth K Kankinza",4395,0.259353239702585,2,0,NA,NA,"North-Western","Zambezi"
"647","KAMBANJI","Paul K",NA,"FDD","446","Zambezi East","Paul K Kambanji",446,0.0263188953145285,3,0,NA,NA,"North-Western","Zambezi"
"648","NKANZA","Womba",NA,"RAINBOW","329","Zambezi East","Womba Nkanza",329,0.0194146111176679,4,0,NA,NA,"North-Western","Zambezi"
"649","KUCHEKA","Prisca C",NA,"UPND","3,951","Zambezi West","Prisca C Kucheka",3951,0.509609183541855,1,1,194,0.0250225719076487,"North-Western","Zambezi"
"650","NGIMBU","Christabel MM",NA,"PF","3,757","Zambezi West","Christabel Mm Ngimbu",3757,0.484586611634206,2,0,NA,NA,"North-Western","Zambezi"
"651","SAMUKONGA","Kahalu P",NA,"FDD","45","Zambezi West","Kahalu P Samukonga",45,0.00580420482393912,3,0,NA,NA,"North-Western","Zambezi"
