col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
,,KALULUSHI,018 Kalulushi,SIMAMA Anson,PF,"15,011",,,
,,,,MWILA Anthony,MMD,"9,393",,,
,,,,BANDA Elijah,"UPND, FDD, UNIP (UDA)","1,889",,,
,,,,MWAPE Diana,Heritage,717,,,
,,,,NGONGA Charles,Independent,211,,,
,,,,,,"27,221",530,"27,751","36,275"
,,,,,,,,,
,,KITWE,019 Chimwemwe,NSANDA Willie,PF,"8,852",,,
,,,,LUNGU George,MMD,"7,397",,,
,,,,MUNGALABA Ackson,Heritage,"6,324",,,
,,,,KUNDA  Jackson  K.,"UPND, FDD, UNIP (UDA)",822,,,
,,,,,,"23,395",454,"23,849","31,052"
,,,,,,,,,
,,,020 Kamfinsa,NYIRENDA Michael A.,PF,"7,638",,,
,,,,CHIPILI Webby,MMD,"6,125",,,
,,,,MWANJISI Lemmy A.,Independent,"1,943",,,
,,,,KHALOMOH Alfred,"UPND, FDD, UNIP (UDA)","1,338",,,
,,,,KASONDE Cecilia,Heritage,"1,075",,,
,,,,NYIRENDA David,NDF,418,,,
,,,,,,"18,537",317,"18,854","25,387"
,,,,,,,,,
,,,021 Kwacha,MULENGA Lombe J.,PF,"14,378",,,
,,,,APPEL Eugene B.,MMD,"10,591",,,
,,,,MWANAPABO George,Independent,"3,407",,,
,,,,SANDERSON Evaness N.,RP,"3,220",,,
,,,,MWANZA Kalulu A.,"UPND, FDD, UNIP (UDA)","2,425",,,
,,,,NKANDU Newton,Independent,178,,,
,,,,,,"34,199",578,"34,777","40,419"
,,,,,,,,,
,,,022 Nkana,MWENYA Musenge,PF,"13,210",,,
,,,,SIWALE Eunice M.,MMD,"4,251",,,
,,,,CHISANGA Patrick D.,"UPND, FDD, UNIP (UDA)","4,132",,,
,,,,,,"21,593",378,"21,971","28,789"
,,,,,,,,,
,,,023 Wusakile,CHELLA Barnabas,PF,"11,532",,,
,,,,SIWALE Moses,MMD,"4,121",,,
,,,,SAMPA Grace,"UPND, FDD, UNIP (UDA)","2,383",,,
,,,,NYONDO Hopeson,NDF,524,,,
,,CONSTITUENCY,CANDIDATE‰ÛªS,,,,TOTAL,TOTAL,
PROVINCE,COUNCIL,NO./NAME,,PARTY,VOTES,,VOTES,REGISTERED,
,,,,,REC‰ÛªD,REJECTED,CAST,VOTERS,
,,,,,,,,,
COPPERBELT,LUANSHYA,024 Luanshya,PHIRI-NJOVU Jean  M.,PF,"9,101",,,,
,,,KACHIMBA Simon,MMD,"9,081",,,,
,,,MULENGA-BANDA Helen,Independent,"3,346",,,,
,,,SIWALE Peart,"UPND, FDD, UNIP (UDA)","1,718",,,,
,,,BWALYA Barnabas C.,NDF,909,,,,
,,,,,"24,155",446,"24,601","33,174",
,,,,,,,,,
,,025 Roan,KAMBWILI Chishimba,PF,"8,096",,,,
,,,CHILAMBWE Joseph A.,MMD,"3,799",,,,
,,,PHIRI Alimon,Independent,"1,049",,,,
