candidate_region,Votes,pct_cast_web,pct_registered_web,rejected_ballotpapers,pct_rejected_web,total_votes,total_registered,turnout_web
"CHIPIMO Elias C ,NAREP",38,0.14%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",27,0.10%,0.06%,,,,,
"MAGANDE Ngandu P ,NMP",25,0.09%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",23,0.08%,0.05%,,,,,
"MIYANDA Godfrey K ,HERITAGE",21,0.08%,0.05%,,,,,
"MILUPI Charles L ,ADD",14,0.05%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",11,0.04%,0.03%,,,,,
,"27,078",,,501,1.82%,"27,579","42,842",64.37%
00000035 KABUSHI,,,,,,,,
"SATA Micheal C ,PF","19,004",77.40%,46.99%,,,,,
"BANDA Rupiah B ,MMD","4,319",17.59%,10.68%,,,,,
"HICHILEMA Hakainde  ,UPND",656,2.67%,1.62%,,,,,
"MAGANDE Ngandu P ,NMP",31,0.13%,0.08%,,,,,
"CHIPIMO Elias C ,NAREP",29,0.12%,0.07%,,,,,
"KAUNDA Tilyenji C ,UNIP",23,0.09%,0.06%,,,,,
"MIYANDA Godfrey K ,HERITAGE",19,0.08%,0.05%,,,,,
"NAWAKWI Edith Z ,FDD",16,0.07%,0.04%,,,,,
"MILUPI Charles L ,ADD",14,0.06%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",5,0.02%,0.01%,,,,,
,"24,116",,,436,1.78%,"24,552","40,442",60.71%
00000036 NDOLA CENTRAL,,,,,,,,
"SATA Micheal C ,PF","20,292",67.55%,39.77%,,,,,
"BANDA Rupiah B ,MMD","7,303",24.31%,14.31%,,,,,
"HICHILEMA Hakainde  ,UPND","1,409",4.69%,2.76%,,,,,
"CHIPIMO Elias C ,NAREP",109,0.36%,0.21%,,,,,
"MILUPI Charles L ,ADD",98,0.33%,0.19%,,,,,
"MIYANDA Godfrey K ,HERITAGE",61,0.20%,0.12%,,,,,
"MAGANDE Ngandu P ,NMP",58,0.19%,0.11%,,,,,
"KAUNDA Tilyenji C ,UNIP",38,0.13%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",26,0.09%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",13,0.04%,0.03%,,,,,
,"29,407",,,632,2.10%,"30,039","51,022",58.87%
00000037 CHADIZA,,,,,,,,
"BANDA Rupiah B ,MMD","8,862",74.14%,38.03%,,,,,
"SATA Micheal C ,PF","1,495",12.51%,6.41%,,,,,
"HICHILEMA Hakainde  ,UPND","1,106",9.25%,4.75%,,,,,
"KAUNDA Tilyenji C ,UNIP",202,1.69%,0.87%,,,,,
"CHIPIMO Elias C ,NAREP",83,0.69%,0.36%,,,,,
"MAGANDE Ngandu P ,NMP",56,0.47%,0.24%,,,,,
"MILUPI Charles L ,ADD",52,0.44%,0.22%,,,,,
"MIYANDA Godfrey K ,HERITAGE",36,0.30%,0.15%,,,,,
"MUTESA Fredrick  ,ZED",19,0.16%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",8,0.07%,0.03%,,,,,
,"11,919",,,34,0.28%,"11,953","23,305",51.29%
00000038 VUBWI,,,,,,,,
"BANDA Rupiah B ,MMD","6,628",78.87%,36.65%,,,,,
"SATA Micheal C ,PF",711,8.46%,3.93%,,,,,
"HICHILEMA Hakainde  ,UPND",558,6.64%,3.09%,,,,,
"CHIPIMO Elias C ,NAREP",52,0.62%,0.29%,,,,,
"KAUNDA Tilyenji C ,UNIP",48,0.57%,0.27%,,,,,
"MAGANDE Ngandu P ,NMP",33,0.39%,0.18%,,,,,
"MILUPI Charles L ,ADD",33,0.39%,0.18%,,,,,
"MIYANDA Godfrey K ,HERITAGE",23,0.27%,0.13%,,,,,
"NAWAKWI Edith Z ,FDD",16,0.19%,0.09%,,,,,
"MUTESA Fredrick  ,ZED",6,0.07%,0.03%,,,,,
,"8,108",,,296,3.52%,"8,404","18,084",46.47%
00000039 CHAMA NORTH,,,,,,,,
"BANDA Rupiah B ,MMD","6,373",47.89%,27.43%,,,,,
"SATA Micheal C ,PF","5,591",42.02%,24.06%,,,,,
"HICHILEMA Hakainde  ,UPND",295,2.22%,1.27%,,,,,
"KAUNDA Tilyenji C ,UNIP",158,1.19%,0.68%,,,,,
"NAWAKWI Edith Z ,FDD",144,1.08%,0.62%,,,,,
"CHIPIMO Elias C ,NAREP",88,0.66%,0.38%,,,,,
"MAGANDE Ngandu P ,NMP",73,0.55%,0.31%,,,,,
"MILUPI Charles L ,ADD",55,0.41%,0.24%,,,,,
"MIYANDA Godfrey K ,HERITAGE",41,0.31%,0.18%,,,,,
"MUTESA Fredrick  ,ZED",37,0.28%,0.16%,,,,,
,"12,855",,,452,3.40%,"13,307","23,234",57.27%
00000040 CHAMA SOUTH,,,,,,,,
"BANDA Rupiah B ,MMD","5,925",47.79%,28.09%,,,,,
"SATA Micheal C ,PF","5,263",42.45%,24.95%,,,,,
"HICHILEMA Hakainde  ,UPND",552,4.45%,2.62%,,,,,
"CHIPIMO Elias C ,NAREP",86,0.69%,0.41%,,,,,
"KAUNDA Tilyenji C ,UNIP",67,0.54%,0.32%,,,,,
"NAWAKWI Edith Z ,FDD",47,0.38%,0.22%,,,,,
"MAGANDE Ngandu P ,NMP",39,0.31%,0.18%,,,,,
"MIYANDA Godfrey K ,HERITAGE",35,0.28%,0.17%,,,,,
"MUTESA Fredrick  ,ZED",25,0.20%,0.12%,,,,,
"MILUPI Charles L ,ADD",14,0.11%,0.07%,,,,,
,"12,053",,,345,2.78%,"12,398","21,092",58.78%
00000041 CHIPANGALI,,,,,,,,
"BANDA Rupiah B ,MMD","16,008",86.40%,39.96%,,,,,
"SATA Micheal C ,PF","1,700",9.18%,4.24%,,,,,
"HICHILEMA Hakainde  ,UPND",429,2.32%,1.07%,,,,,
"CHIPIMO Elias C ,NAREP",88,0.47%,0.22%,,,,,
"KAUNDA Tilyenji C ,UNIP",67,0.36%,0.17%,,,,,
"MILUPI Charles L ,ADD",63,0.34%,0.16%,,,,,
"MAGANDE Ngandu P ,NMP",37,0.20%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",26,0.14%,0.06%,,,,,
"MUTESA Fredrick  ,ZED",24,0.13%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",14,0.08%,0.03%,,,,,
,"18,456",,,71,0.38%,"18,527","40,063",46.24%
00000042 CHIPATA CENTRAL,,,,,,,,
"BANDA Rupiah B ,MMD","15,698",61.16%,31.56%,,,,,
"SATA Micheal C ,PF","8,910",34.71%,17.91%,,,,,
"HICHILEMA Hakainde  ,UPND",712,2.77%,1.43%,,,,,
"KAUNDA Tilyenji C ,UNIP",69,0.27%,0.14%,,,,,
"CHIPIMO Elias C ,NAREP",47,0.18%,0.09%,,,,,
"MAGANDE Ngandu P ,NMP",36,0.14%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",32,0.12%,0.06%,,,,,
"MILUPI Charles L ,ADD",25,0.10%,0.05%,,,,,
"NAWAKWI Edith Z ,FDD",16,0.06%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",11,0.04%,0.02%,,,,,
,"25,556",,,111,0.43%,"25,667","49,744",51.60%
00000043 KASENENGWA,,,,,,,,
"BANDA Rupiah B ,MMD","19,387",85.76%,46.39%,,,,,
"SATA Micheal C ,PF","1,640",7.25%,3.92%,,,,,
"HICHILEMA Hakainde  ,UPND",249,1.10%,0.60%,,,,,
"CHIPIMO Elias C ,NAREP",113,0.50%,0.27%,,,,,
"KAUNDA Tilyenji C ,UNIP",99,0.44%,0.24%,,,,,
"NAWAKWI Edith Z ,FDD",87,0.38%,0.21%,,,,,
"MAGANDE Ngandu P ,NMP",45,0.20%,0.11%,,,,,
"MILUPI Charles L ,ADD",43,0.19%,0.10%,,,,,
"MIYANDA Godfrey K ,HERITAGE",30,0.13%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",19,0.08%,0.05%,,,,,
,"21,712",,,894,3.95%,"22,606","41,795",54.09%
00000044 LUANGENI,,,,,,,,
"BANDA Rupiah B ,MMD","13,743",81.64%,43.90%,,,,,
"SATA Micheal C ,PF","1,718",10.21%,5.49%,,,,,
"HICHILEMA Hakainde  ,UPND",595,3.53%,1.90%,,,,,
"KAUNDA Tilyenji C ,UNIP",276,1.64%,0.88%,,,,,
"CHIPIMO Elias C ,NAREP",79,0.47%,0.25%,,,,,
"NAWAKWI Edith Z ,FDD",79,0.47%,0.25%,,,,,
"MAGANDE Ngandu P ,NMP",52,0.31%,0.17%,,,,,
"MILUPI Charles L ,ADD",39,0.23%,0.12%,,,,,
"MIYANDA Godfrey K ,HERITAGE",29,0.17%,0.09%,,,,,
"MUTESA Fredrick  ,ZED",24,0.14%,0.08%,,,,,
,"16,634",,,199,1.18%,"16,833","31,303",53.77%
00000045 MILANZI,,,,,,,,
"BANDA Rupiah B ,MMD","9,841",69.60%,36.52%,,,,,
"SATA Micheal C ,PF","1,993",14.09%,7.40%,,,,,
"HICHILEMA Hakainde  ,UPND",937,6.63%,3.48%,,,,,
"KAUNDA Tilyenji C ,UNIP",542,3.83%,2.01%,,,,,
"CHIPIMO Elias C ,NAREP",109,0.77%,0.40%,,,,,
"MILUPI Charles L ,ADD",66,0.47%,0.24%,,,,,
"MAGANDE Ngandu P ,NMP",56,0.40%,0.21%,,,,,
"MIYANDA Godfrey K ,HERITAGE",46,0.33%,0.17%,,,,,
"MUTESA Fredrick  ,ZED",45,0.32%,0.17%,,,,,
"NAWAKWI Edith Z ,FDD",33,0.23%,0.12%,,,,,
,"13,668",,,472,3.34%,"14,140","26,945",52.48%
00000046 MKAIKA,,,,,,,,
"BANDA Rupiah B ,MMD","12,980",76.32%,38.05%,,,,,
"SATA Micheal C ,PF","2,644",15.55%,7.75%,,,,,
"HICHILEMA Hakainde  ,UPND",306,1.80%,0.90%,,,,,
"KAUNDA Tilyenji C ,UNIP",157,0.92%,0.46%,,,,,
"MIYANDA Godfrey K ,HERITAGE",62,0.36%,0.18%,,,,,
"CHIPIMO Elias C ,NAREP",61,0.36%,0.18%,,,,,
"NAWAKWI Edith Z ,FDD",60,0.35%,0.18%,,,,,
"MAGANDE Ngandu P ,NMP",48,0.28%,0.14%,,,,,
"MILUPI Charles L ,ADD",47,0.28%,0.14%,,,,,
"MUTESA Fredrick  ,ZED",41,0.24%,0.12%,,,,,
,"16,406",,,601,3.53%,"17,007","34,112",49.86%
00000047 SINDA,,,,,,,,
"BANDA Rupiah B ,MMD","13,513",85.51%,41.99%,,,,,
"SATA Micheal C ,PF",816,5.16%,2.54%,,,,,
"HICHILEMA Hakainde  ,UPND",285,1.80%,0.89%,,,,,
"CHIPIMO Elias C ,NAREP",173,1.09%,0.54%,,,,,
"KAUNDA Tilyenji C ,UNIP",87,0.55%,0.27%,,,,,
"NAWAKWI Edith Z ,FDD",86,0.54%,0.27%,,,,,
"MAGANDE Ngandu P ,NMP",48,0.30%,0.15%,,,,,
"MILUPI Charles L ,ADD",44,0.28%,0.14%,,,,,
"MIYANDA Godfrey K ,HERITAGE",43,0.27%,0.13%,,,,,
"MUTESA Fredrick  ,ZED",35,0.22%,0.11%,,,,,
,"15,130",,,673,4.26%,"15,803","32,178",49.11%
00000048 CHASEFU,,,,,,,,
"BANDA Rupiah B ,MMD","12,800",71.13%,32.97%,,,,,
"SATA Micheal C ,PF","2,449",13.61%,6.31%,,,,,
"HICHILEMA Hakainde  ,UPND",823,4.57%,2.12%,,,,,
"NAWAKWI Edith Z ,FDD",506,2.81%,1.30%,,,,,
"CHIPIMO Elias C ,NAREP",329,1.83%,0.85%,,,,,
"KAUNDA Tilyenji C ,UNIP",245,1.36%,0.63%,,,,,
"MAGANDE Ngandu P ,NMP",98,0.54%,0.25%,,,,,
"MILUPI Charles L ,ADD",57,0.32%,0.15%,,,,,
"MUTESA Fredrick  ,ZED",57,0.32%,0.15%,,,,,
"MIYANDA Godfrey K ,HERITAGE",47,0.26%,0.12%,,,,,
,"17,411",,,585,3.25%,"17,996","38,818",46.36%
00000049 LUMEZI,,,,,,,,
"BANDA Rupiah B ,MMD","10,671",62.47%,28.35%,,,,,
"SATA Micheal C ,PF","5,003",29.29%,13.29%,,,,,
"HICHILEMA Hakainde  ,UPND",910,5.33%,2.42%,,,,,
"KAUNDA Tilyenji C ,UNIP",150,0.88%,0.40%,,,,,
"CHIPIMO Elias C ,NAREP",83,0.49%,0.22%,,,,,
"NAWAKWI Edith Z ,FDD",73,0.43%,0.19%,,,,,
"MAGANDE Ngandu P ,NMP",61,0.36%,0.16%,,,,,
"MUTESA Fredrick  ,ZED",48,0.28%,0.13%,,,,,
"MILUPI Charles L ,ADD",27,0.16%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",20,0.12%,0.05%,,,,,
,"17,046",,,37,0.22%,"17,083","37,638",45.39%
00000050 LUNDAZI,,,,,,,,
"BANDA Rupiah B ,MMD","17,075",68.61%,35.09%,,,,,
"SATA Micheal C ,PF","5,175",20.79%,10.64%,,,,,
"KAUNDA Tilyenji C ,UNIP",968,3.89%,1.99%,,,,,
"HICHILEMA Hakainde  ,UPND",790,3.17%,1.62%,,,,,
"CHIPIMO Elias C ,NAREP",212,0.85%,0.44%,,,,,
"MAGANDE Ngandu P ,NMP",161,0.65%,0.33%,,,,,
"MILUPI Charles L ,ADD",144,0.58%,0.30%,,,,,
"NAWAKWI Edith Z ,FDD",131,0.53%,0.27%,,,,,
"MUTESA Fredrick  ,ZED",81,0.33%,0.17%,,,,,
"MIYANDA Godfrey K ,HERITAGE",61,0.25%,0.13%,,,,,
,"24,798",,,90,0.36%,"24,888","48,658",51.15%
00000051 MALAMBO,,,,,,,,
"BANDA Rupiah B ,MMD","11,291",75.31%,40.20%,,,,,
"SATA Micheal C ,PF","2,925",19.51%,10.41%,,,,,
"HICHILEMA Hakainde  ,UPND",397,2.65%,1.41%,,,,,
"KAUNDA Tilyenji C ,UNIP",148,0.99%,0.53%,,,,,
"CHIPIMO Elias C ,NAREP",40,0.27%,0.14%,,,,,
"MIYANDA Godfrey K ,HERITAGE",35,0.23%,0.12%,,,,,
"MILUPI Charles L ,ADD",33,0.22%,0.12%,,,,,
"MAGANDE Ngandu P ,NMP",33,0.22%,0.12%,,,,,
"MUTESA Fredrick  ,ZED",22,0.15%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",17,0.11%,0.06%,,,,,
,"14,941",,,51,0.34%,"14,992","28,088",53.38%
00000052 NYIMBA,,,,,,,,
"BANDA Rupiah B ,MMD","10,124",68.60%,30.52%,,,,,
"SATA Micheal C ,PF","3,267",22.14%,9.85%,,,,,
"HICHILEMA Hakainde  ,UPND",791,5.36%,2.38%,,,,,
"KAUNDA Tilyenji C ,UNIP",124,0.84%,0.37%,,,,,
"CHIPIMO Elias C ,NAREP",45,0.30%,0.14%,,,,,
"MAGANDE Ngandu P ,NMP",24,0.16%,0.07%,,,,,
"MILUPI Charles L ,ADD",23,0.16%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",20,0.14%,0.06%,,,,,
"MIYANDA Godfrey K ,HERITAGE",16,0.11%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",15,0.10%,0.05%,,,,,
,"14,449",,,308,2.09%,"14,757","33,170",44.49%
00000053 KAPOCHE,,,,,,,,
"BANDA Rupiah B ,MMD","12,323",74.62%,30.48%,,,,,
"SATA Micheal C ,PF","2,739",16.58%,6.77%,,,,,
"HICHILEMA Hakainde  ,UPND",433,2.62%,1.07%,,,,,
"KAUNDA Tilyenji C ,UNIP",176,1.07%,0.44%,,,,,
"CHIPIMO Elias C ,NAREP",96,0.58%,0.24%,,,,,
"MUTESA Fredrick  ,ZED",57,0.35%,0.14%,,,,,
"MAGANDE Ngandu P ,NMP",53,0.32%,0.13%,,,,,
"MILUPI Charles L ,ADD",42,0.25%,0.10%,,,,,
"MIYANDA Godfrey K ,HERITAGE",26,0.16%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",19,0.12%,0.05%,,,,,
,"15,964",,,551,3.34%,"16,515","40,435",40.84%
00000054 MSANZALA,,,,,,,,
"BANDA Rupiah B ,MMD","13,353",83.71%,45.38%,,,,,
"SATA Micheal C ,PF","1,472",9.23%,5.00%,,,,,
"HICHILEMA Hakainde  ,UPND",258,1.62%,0.88%,,,,,
"CHIPIMO Elias C ,NAREP",107,0.67%,0.36%,,,,,
"KAUNDA Tilyenji C ,UNIP",95,0.60%,0.32%,,,,,
"MAGANDE Ngandu P ,NMP",63,0.39%,0.21%,,,,,
"MILUPI Charles L ,ADD",56,0.35%,0.19%,,,,,
"MIYANDA Godfrey K ,HERITAGE",32,0.20%,0.11%,,,,,
"MUTESA Fredrick  ,ZED",26,0.16%,0.09%,,,,,
"NAWAKWI Edith Z ,FDD",19,0.12%,0.06%,,,,,
,"15,481",,,470,2.95%,"15,951","29,428",54.20%
00000055 PETAUKE,,,,,,,,
"BANDA Rupiah B ,MMD","16,933",74.17%,36.31%,,,,,
"SATA Micheal C ,PF","3,880",17.00%,8.32%,,,,,
"HICHILEMA Hakainde  ,UPND",278,1.22%,0.60%,,,,,
"NAWAKWI Edith Z ,FDD",214,0.94%,0.46%,,,,,
"KAUNDA Tilyenji C ,UNIP",207,0.91%,0.44%,,,,,
"CHIPIMO Elias C ,NAREP",96,0.42%,0.21%,,,,,
"MIYANDA Godfrey K ,HERITAGE",60,0.26%,0.13%,,,,,
"MAGANDE Ngandu P ,NMP",54,0.24%,0.12%,,,,,
"MILUPI Charles L ,ADD",51,0.22%,0.11%,,,,,
"MUTESA Fredrick  ,ZED",33,0.14%,0.07%,,,,,
,"21,806",,,"1,024",4.49%,"22,830","46,635",48.95%
00000056 KAWAMBWA,,,,,,,,
"SATA Micheal C ,PF","7,654",66.59%,40.10%,,,,,
"BANDA Rupiah B ,MMD","3,622",31.51%,18.98%,,,,,
"HICHILEMA Hakainde  ,UPND",53,0.46%,0.28%,,,,,
"NAWAKWI Edith Z ,FDD",45,0.39%,0.24%,,,,,
"MAGANDE Ngandu P ,NMP",28,0.24%,0.15%,,,,,
"CHIPIMO Elias C ,NAREP",26,0.23%,0.14%,,,,,
"KAUNDA Tilyenji C ,UNIP",26,0.23%,0.14%,,,,,
"MUTESA Fredrick  ,ZED",7,0.06%,0.04%,,,,,
"MILUPI Charles L ,ADD",7,0.06%,0.04%,,,,,
"MIYANDA Godfrey K ,HERITAGE",5,0.04%,0.03%,,,,,
,"11,473",,,21,0.18%,"11,494","19,086",60.22%
00000057 MWANSABOMBWE,,,,,,,,
"SATA Micheal C ,PF","8,960",81.82%,43.68%,,,,,
"BANDA Rupiah B ,MMD","1,807",16.50%,8.81%,,,,,
"HICHILEMA Hakainde  ,UPND",63,0.58%,0.31%,,,,,
"CHIPIMO Elias C ,NAREP",29,0.26%,0.14%,,,,,
"MILUPI Charles L ,ADD",18,0.16%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",16,0.15%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",15,0.14%,0.07%,,,,,
"MAGANDE Ngandu P ,NMP",13,0.12%,0.06%,,,,,
"MUTESA Fredrick  ,ZED",8,0.07%,0.04%,,,,,
"MIYANDA Godfrey K ,HERITAGE",7,0.06%,0.03%,,,,,
,"10,936",,,15,0.14%,"10,951","20,515",53.38%
00000058 PAMBASHE,,,,,,,,
"SATA Micheal C ,PF","6,794",75.63%,45.36%,,,,,
"BANDA Rupiah B ,MMD","1,863",20.74%,12.44%,,,,,
"KAUNDA Tilyenji C ,UNIP",82,0.91%,0.55%,,,,,
"HICHILEMA Hakainde  ,UPND",52,0.58%,0.35%,,,,,
"CHIPIMO Elias C ,NAREP",48,0.53%,0.32%,,,,,
"MAGANDE Ngandu P ,NMP",42,0.47%,0.28%,,,,,
"MUTESA Fredrick  ,ZED",28,0.31%,0.19%,,,,,
"MILUPI Charles L ,ADD",24,0.27%,0.16%,,,,,
"MIYANDA Godfrey K ,HERITAGE",19,0.21%,0.13%,,,,,
"NAWAKWI Edith Z ,FDD",8,0.09%,0.05%,,,,,
,"8,960",,,23,0.26%,"8,983","14,978",59.97%
00000059 BAHATI,,,,,,,,
"SATA Micheal C ,PF","14,522",80.37%,44.94%,,,,,
"BANDA Rupiah B ,MMD","3,146",17.41%,9.74%,,,,,
"HICHILEMA Hakainde  ,UPND",141,0.78%,0.44%,,,,,
"MAGANDE Ngandu P ,NMP",55,0.30%,0.17%,,,,,
"KAUNDA Tilyenji C ,UNIP",49,0.27%,0.15%,,,,,
"MILUPI Charles L ,ADD",40,0.22%,0.12%,,,,,
"CHIPIMO Elias C ,NAREP",32,0.18%,0.10%,,,,,
"NAWAKWI Edith Z ,FDD",28,0.15%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",22,0.12%,0.07%,,,,,
"MUTESA Fredrick  ,ZED",13,0.07%,0.04%,,,,,
,"18,048",,,21,0.12%,"18,069","32,315",55.92%
00000060 CHEMBE,,,,,,,,
"BANDA Rupiah B ,MMD","4,057",49.05%,26.06%,,,,,
"SATA Micheal C ,PF","3,790",45.82%,24.35%,,,,,
"HICHILEMA Hakainde  ,UPND",59,0.71%,0.38%,,,,,
"CHIPIMO Elias C ,NAREP",32,0.39%,0.21%,,,,,
"MAGANDE Ngandu P ,NMP",22,0.27%,0.14%,,,,,
"KAUNDA Tilyenji C ,UNIP",14,0.17%,0.09%,,,,,
"MILUPI Charles L ,ADD",13,0.16%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",7,0.08%,0.04%,,,,,
"NAWAKWI Edith Z ,FDD",7,0.08%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",2,0.02%,0.01%,,,,,
,"8,003",,,268,3.24%,"8,271","15,565",53.14%
00000061 MANSA CENTRAL,,,,,,,,
"SATA Micheal C ,PF","21,916",74.77%,38.70%,,,,,
"BANDA Rupiah B ,MMD","6,361",21.70%,11.23%,,,,,
"HICHILEMA Hakainde  ,UPND",239,0.82%,0.42%,,,,,
"CHIPIMO Elias C ,NAREP",69,0.24%,0.12%,,,,,
"KAUNDA Tilyenji C ,UNIP",49,0.17%,0.09%,,,,,
"MAGANDE Ngandu P ,NMP",47,0.16%,0.08%,,,,,
"NAWAKWI Edith Z ,FDD",37,0.13%,0.07%,,,,,
"MILUPI Charles L ,ADD",18,0.06%,0.03%,,,,,
"MIYANDA Godfrey K ,HERITAGE",14,0.05%,0.02%,,,,,
"MUTESA Fredrick  ,ZED",13,0.04%,0.02%,,,,,
,"28,763",,,549,1.87%,"29,312","56,628",51.76%
00000062 CHIPILI,,,,,,,,
"SATA Micheal C ,PF","6,743",70.98%,44.65%,,,,,
"BANDA Rupiah B ,MMD","2,304",24.25%,15.26%,,,,,
"KAUNDA Tilyenji C ,UNIP",24,0.25%,0.16%,,,,,
"CHIPIMO Elias C ,NAREP",24,0.25%,0.16%,,,,,
"MAGANDE Ngandu P ,NMP",22,0.23%,0.15%,,,,,
"HICHILEMA Hakainde  ,UPND",18,0.19%,0.12%,,,,,
"MILUPI Charles L ,ADD",14,0.15%,0.09%,,,,,
"NAWAKWI Edith Z ,FDD",13,0.14%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",9,0.09%,0.06%,,,,,
"MUTESA Fredrick  ,ZED",6,0.06%,0.04%,,,,,
,"9,177",,,323,3.40%,"9,500","15,102",62.91%
00000063 MAMBILIMA,,,,,,,,
"SATA Micheal C ,PF","5,832",62.44%,37.29%,,,,,
"BANDA Rupiah B ,MMD","3,176",34.00%,20.31%,,,,,
"HICHILEMA Hakainde  ,UPND",54,0.58%,0.35%,,,,,
"CHIPIMO Elias C ,NAREP",27,0.29%,0.17%,,,,,
"NAWAKWI Edith Z ,FDD",11,0.12%,0.07%,,,,,
"MILUPI Charles L ,ADD",9,0.10%,0.06%,,,,,
"KAUNDA Tilyenji C ,UNIP",7,0.07%,0.04%,,,,,
"MAGANDE Ngandu P ,NMP",5,0.05%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",4,0.04%,0.03%,,,,,
"MIYANDA Godfrey K ,HERITAGE",3,0.03%,0.02%,,,,,
,"9,128",,,212,2.27%,"9,340","15,638",59.73%
00000064 MWENSE,,,,,,,,
"SATA Micheal C ,PF","10,271",72.97%,39.52%,,,,,
"BANDA Rupiah B ,MMD","2,912",20.69%,11.20%,,,,,
"HICHILEMA Hakainde  ,UPND",430,3.06%,1.65%,,,,,
"NAWAKWI Edith Z ,FDD",49,0.35%,0.19%,,,,,
"CHIPIMO Elias C ,NAREP",47,0.33%,0.18%,,,,,
"MAGANDE Ngandu P ,NMP",35,0.25%,0.13%,,,,,
"MIYANDA Godfrey K ,HERITAGE",12,0.09%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",12,0.09%,0.05%,,,,,
"MILUPI Charles L ,ADD",11,0.08%,0.04%,,,,,
"KAUNDA Tilyenji C ,UNIP",10,0.07%,0.04%,,,,,
,"13,789",,,286,2.03%,"14,075","25,990",54.16%
00000065 CHIENGE,,,,,,,,
"SATA Micheal C ,PF","9,337",64.70%,19.89%,,,,,
"BANDA Rupiah B ,MMD","4,726",32.75%,10.07%,,,,,
"HICHILEMA Hakainde  ,UPND",163,1.13%,0.35%,,,,,
"CHIPIMO Elias C ,NAREP",68,0.47%,0.14%,,,,,
"KAUNDA Tilyenji C ,UNIP",34,0.24%,0.07%,,,,,
"MILUPI Charles L ,ADD",27,0.19%,0.06%,,,,,
"MAGANDE Ngandu P ,NMP",27,0.19%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",17,0.12%,0.04%,,,,,
"MIYANDA Godfrey K ,HERITAGE",15,0.10%,0.03%,,,,,
"MUTESA Fredrick  ,ZED",10,0.07%,0.02%,,,,,
,"14,424",,,8,0.06%,"14,432","46,946",30.74%
00000066 NCHELENGE,,,,,,,,
"SATA Micheal C ,PF","18,101",77.88%,31.10%,,,,,
"BANDA Rupiah B ,MMD","4,166",17.92%,7.16%,,,,,
"HICHILEMA Hakainde  ,UPND",184,0.79%,0.32%,,,,,
"MAGANDE Ngandu P ,NMP",108,0.46%,0.19%,,,,,
"CHIPIMO Elias C ,NAREP",67,0.29%,0.12%,,,,,
"NAWAKWI Edith Z ,FDD",39,0.17%,0.07%,,,,,
"KAUNDA Tilyenji C ,UNIP",30,0.13%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",25,0.11%,0.04%,,,,,
"MIYANDA Godfrey K ,HERITAGE",17,0.07%,0.03%,,,,,
"MILUPI Charles L ,ADD",16,0.07%,0.03%,,,,,
,"22,753",,,490,2.11%,"23,243","58,198",39.94%
00000067 BANGWEULU,,,,,,,,
"SATA Micheal C ,PF","18,453",83.52%,43.96%,,,,,
"BANDA Rupiah B ,MMD","3,147",14.24%,7.50%,,,,,
"HICHILEMA Hakainde  ,UPND",232,1.05%,0.55%,,,,,
"CHIPIMO Elias C ,NAREP",52,0.24%,0.12%,,,,,
"MAGANDE Ngandu P ,NMP",42,0.19%,0.10%,,,,,
"NAWAKWI Edith Z ,FDD",37,0.17%,0.09%,,,,,
"MUTESA Fredrick  ,ZED",33,0.15%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",24,0.11%,0.06%,,,,,
"MILUPI Charles L ,ADD",22,0.10%,0.05%,,,,,
"KAUNDA Tilyenji C ,UNIP",21,0.10%,0.05%,,,,,
,"22,063",,,30,0.14%,"22,093","41,979",52.63%
00000068 CHIFUNABULI,,,,,,,,
"SATA Micheal C ,PF","15,262",77.00%,44.54%,,,,,
"BANDA Rupiah B ,MMD","3,843",19.39%,11.22%,,,,,
"HICHILEMA Hakainde  ,UPND",57,0.29%,0.17%,,,,,
"CHIPIMO Elias C ,NAREP",53,0.27%,0.15%,,,,,
