candidate_region,Votes,pct_cast_web,pct_registered_web,rejected_ballotpapers,pct_rejected_web,total_votes,total_registered,turnout_web
"MIYANDA Godfrey K ,HERITAGE",8,0.13%,0.06%,,,,,
"MUTESA Fredrick  ,ZED",4,0.06%,0.03%,,,,,
"MILUPI Charles L ,ADD",2,0.03%,0.02%,,,,,
"NAWAKWI Edith Z ,FDD",2,0.03%,0.02%,,,,,
,"6,189",,,93,1.48%,"6,282","12,793",49.10%
00000009 MWEMBEZHI,,,,,,,,
"HICHILEMA Hakainde  ,UPND","6,664",53.01%,27.61%,,,,,
"BANDA Rupiah B ,MMD","4,454",35.43%,18.45%,,,,,
"SATA Micheal C ,PF","1,295",10.30%,5.37%,,,,,
"MAGANDE Ngandu P ,NMP",46,0.37%,0.19%,,,,,
"KAUNDA Tilyenji C ,UNIP",28,0.22%,0.12%,,,,,
"CHIPIMO Elias C ,NAREP",22,0.18%,0.09%,,,,,
"MILUPI Charles L ,ADD",20,0.16%,0.08%,,,,,
"MIYANDA Godfrey K ,HERITAGE",12,0.10%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",5,0.04%,0.02%,,,,,
"NAWAKWI Edith Z ,FDD",4,0.03%,0.02%,,,,,
,"12,550",,,21,0.17%,"12,571","24,137",52.08%
00000010 MUMBWA,,,,,,,,
"BANDA Rupiah B ,MMD","7,487",48.85%,23.25%,,,,,
"HICHILEMA Hakainde  ,UPND","5,308",34.63%,16.48%,,,,,
"SATA Micheal C ,PF","2,054",13.40%,6.38%,,,,,
"MAGANDE Ngandu P ,NMP",59,0.38%,0.18%,,,,,
"CHIPIMO Elias C ,NAREP",37,0.24%,0.11%,,,,,
"KAUNDA Tilyenji C ,UNIP",36,0.23%,0.11%,,,,,
"MILUPI Charles L ,ADD",31,0.20%,0.10%,,,,,
"MIYANDA Godfrey K ,HERITAGE",21,0.14%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",14,0.09%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",6,0.04%,0.02%,,,,,
,"15,053",,,273,1.78%,"15,326","32,207",47.59%
00000011 NANGOMA,,,,,,,,
"HICHILEMA Hakainde  ,UPND","5,860",47.27%,23.01%,,,,,
"BANDA Rupiah B ,MMD","5,484",44.24%,21.54%,,,,,
"SATA Micheal C ,PF",836,6.74%,3.28%,,,,,
"MILUPI Charles L ,ADD",92,0.74%,0.36%,,,,,
"NAWAKWI Edith Z ,FDD",27,0.22%,0.11%,,,,,
"CHIPIMO Elias C ,NAREP",24,0.19%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",18,0.15%,0.07%,,,,,
"MIYANDA Godfrey K ,HERITAGE",14,0.11%,0.05%,,,,,
"MAGANDE Ngandu P ,NMP",12,0.10%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",2,0.02%,0.01%,,,,,
,"12,369",,,27,0.22%,"12,396","25,463",48.68%
00000012 CHITAMBO,,,,,,,,
"BANDA Rupiah B ,MMD","4,377",47.14%,22.30%,,,,,
"SATA Micheal C ,PF","4,280",46.10%,21.81%,,,,,
"NAWAKWI Edith Z ,FDD",188,2.02%,0.96%,,,,,
"HICHILEMA Hakainde  ,UPND",105,1.13%,0.53%,,,,,
"MAGANDE Ngandu P ,NMP",34,0.37%,0.17%,,,,,
"CHIPIMO Elias C ,NAREP",29,0.31%,0.15%,,,,,
"MILUPI Charles L ,ADD",17,0.18%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",17,0.18%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",11,0.12%,0.06%,,,,,
"MUTESA Fredrick  ,ZED",9,0.10%,0.05%,,,,,
,"9,067",,,218,2.35%,"9,285","19,628",47.30%
00000013 MUCHINGA,,,,,,,,
"BANDA Rupiah B ,MMD","6,027",75.69%,37.68%,,,,,
"SATA Micheal C ,PF","1,481",18.60%,9.26%,,,,,
"HICHILEMA Hakainde  ,UPND",69,0.87%,0.43%,,,,,
"CHIPIMO Elias C ,NAREP",50,0.63%,0.31%,,,,,
"MIYANDA Godfrey K ,HERITAGE",17,0.21%,0.11%,,,,,
"MAGANDE Ngandu P ,NMP",13,0.16%,0.08%,,,,,
"KAUNDA Tilyenji C ,UNIP",12,0.15%,0.08%,,,,,
"MILUPI Charles L ,ADD",9,0.11%,0.06%,,,,,
"NAWAKWI Edith Z ,FDD",8,0.10%,0.05%,,,,,
"MUTESA Fredrick  ,ZED",0,0.00%,0.00%,,,,,
,"7,686",,,277,3.48%,"7,963","15,996",49.78%
00000014 SERENJE,,,,,,,,
"BANDA Rupiah B ,MMD","4,851",53.14%,23.99%,,,,,
"SATA Micheal C ,PF","3,689",40.41%,18.25%,,,,,
"HICHILEMA Hakainde  ,UPND",204,2.23%,1.01%,,,,,
"CHIPIMO Elias C ,NAREP",19,0.21%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",18,0.20%,0.09%,,,,,
"NAWAKWI Edith Z ,FDD",15,0.16%,0.07%,,,,,
"MAGANDE Ngandu P ,NMP",13,0.14%,0.06%,,,,,
"MIYANDA Godfrey K ,HERITAGE",11,0.12%,0.05%,,,,,
"MILUPI Charles L ,ADD",8,0.09%,0.04%,,,,,
"MUTESA Fredrick  ,ZED",4,0.04%,0.02%,,,,,
,Votes,% Against,% against,Rejected,Rejected,Total Votes,Total,Percentage
,Received,Votes,Registered,Ballot,Ballot,Cast,Registered,Poll
Candidate,,Cast,Voters,Papers,Papers %,,Voters,
,"8,832",,,296,3.24%,"9,128","20,219",45.15%
00000015 CHILILABOMBWE,,,,,,,,
"SATA Micheal C ,PF","21,393",77.23%,48.65%,,,,,
"BANDA Rupiah B ,MMD","4,900",17.69%,11.14%,,,,,
"HICHILEMA Hakainde  ,UPND",775,2.80%,1.76%,,,,,
"CHIPIMO Elias C ,NAREP",49,0.18%,0.11%,,,,,
"MAGANDE Ngandu P ,NMP",48,0.17%,0.11%,,,,,
"NAWAKWI Edith Z ,FDD",45,0.16%,0.10%,,,,,
"MILUPI Charles L ,ADD",41,0.15%,0.09%,,,,,
"MIYANDA Godfrey K ,HERITAGE",39,0.14%,0.09%,,,,,
"KAUNDA Tilyenji C ,UNIP",34,0.12%,0.08%,,,,,
"MUTESA Fredrick  ,ZED",16,0.06%,0.04%,,,,,
,"27,340",,,359,1.30%,"27,699","43,971",62.99%
00000016 CHINGOLA,,,,,,,,
"SATA Micheal C ,PF","23,925",70.58%,42.48%,,,,,
"BANDA Rupiah B ,MMD","7,409",21.86%,13.16%,,,,,
"HICHILEMA Hakainde  ,UPND","1,866",5.50%,3.31%,,,,,
"CHIPIMO Elias C ,NAREP",63,0.19%,0.11%,,,,,
"MIYANDA Godfrey K ,HERITAGE",59,0.17%,0.10%,,,,,
"MAGANDE Ngandu P ,NMP",47,0.14%,0.08%,,,,,
"KAUNDA Tilyenji C ,UNIP",41,0.12%,0.07%,,,,,
"NAWAKWI Edith Z ,FDD",37,0.11%,0.07%,,,,,
"MILUPI Charles L ,ADD",35,0.10%,0.06%,,,,,
"MUTESA Fredrick  ,ZED",9,0.03%,0.02%,,,,,
,"33,491",,,406,1.20%,"33,897","56,316",60.19%
00000017 NCHANGA,,,,,,,,
"SATA Micheal C ,PF","21,427",81.22%,52.74%,,,,,
"BANDA Rupiah B ,MMD","2,893",10.97%,7.12%,,,,,
