"","constit","election_type","year","turnout","pct_rejected"
"91","Malole","parliamentary",2011,0.577438151707217,0.00197692602755894
"92","Lubansenshi","parliamentary",2011,0.590652539855431,0.00209555741827326
"93","Lupososhi","parliamentary",2011,0.599600368890255,0.00249935913868239
"94","Mbala","parliamentary",2011,0.569963447024483,0.00705914921103626
"95","Mpulungu","parliamentary",2011,0.569826537185942,0.0015492839795662
"96","Senga Hill","parliamentary",2011,0.552518029957468,0.0042951971885982
"97","Kanchibiya","parliamentary",2011,0.540342645908865,0.00177608209446126
"98","Mfuwe","parliamentary",2011,0.48347836670115,0.000629326620516048
"99","Mpika","parliamentary",2011,0.542567147690396,0.00458131840162891
"100","Lunte","parliamentary",2011,0.602277072093122,0.0146716512661353
"101","Mporokoso","parliamentary",2011,0.632253288537099,0.0148608484193461
"102","Chavuma","parliamentary",2011,0.575667831546526,0.00133758617141681
"103","Manyinga","parliamentary",2011,0.587352299812364,0.000604386116387498
"104","Kabompo","parliamentary",2011,0.510142248241154,0.0012079726192873
"105","Kasempa","parliamentary",2011,0.556643879876203,0.0235840410582269
"106","Mufumbwe","parliamentary",2011,0.623598623598624,0.0259878960484158
"107","Mwinilunga","parliamentary",2011,0.610471794204972,0.0231105115552558
"108","Ikeleng'i","parliamentary",2011,0.647617872130338,0.0304936153992758
"109","Solwezi Central","parliamentary",2011,0.515255198487713,0.015408885790806
"110","Solwezi East","parliamentary",2011,0.400127413505832,0.0413962033067973
"111","Solwezi West","parliamentary",2011,0.474699879951981,0.0384396535373333
"112","Zambezi East","parliamentary",2011,0.533602935045443,0.00117196655988749
"113","Zambezi West","parliamentary",2011,0.477366255144033,0.00307881773399015
"114","Choma Central","parliamentary",2011,0.555559993609203,0.0251635631605435
"115","Mbabala","parliamentary",2011,0.602357898148523,0.00437180521926285
"116","Pemba","parliamentary",2011,0.618683617637592,0.0037065938353492
"117","Gwembe","parliamentary",2011,0.647035847582675,0.0266952847273459
"118","Dundumwezi","parliamentary",2011,0.588975265017668,0.00179985601151908
"119","Kalomo Central","parliamentary",2011,0.579531085353003,0.0208191281421883
"120","Katombola","parliamentary",2011,0.551123530096635,0.0239563968227142
"121","Mapatizya","parliamentary",2011,0.563265773502805,0.00169411126922816
"122","Livingstone","parliamentary",2011,0.579078694817658,0.0168787129343974
"123","Chikankata","parliamentary",2011,0.55326317251919,0.00307615041747756
"124","Mazabuka Central","parliamentary",2011,0.523188610093036,0.001616597063182
"125","Bweengwa","parliamentary",2011,0.646135596313532,0.0026126253354046
"126","Monze Central","parliamentary",2011,0.623368224388608,0.00222862632084534
"127","Moomba","parliamentary",2011,0.652681129758494,0.024877181979722
"128","Itezhitezhi","parliamentary",2011,0.453510290440469,0.0211213843413351
"129","Namwala","parliamentary",2011,0.554666231079168,0.000294492981250614
"130","Siavonga","parliamentary",2011,0.618022580985544,0.0325678675089636
"131","Sinazongwe","parliamentary",2011,0.572750190258752,0.000332184528505585
"132","Kalabo Central","parliamentary",2011,0.499040170636331,0.0210856247328679
"133","Liuwa","parliamentary",2011,0.577977626672516,0.00126502213788741
"134","Sikongo","parliamentary",2011,0.44180583218426,0.00219627788694949
"135","Kaoma Central","parliamentary",2011,0.479892840320301,0
"136","Luampa","parliamentary",2011,0.477468755500792,0.0305990783410138
"137","Mangango","parliamentary",2011,0.44343416681238,0.00315457413249211
"138","Lukulu East","parliamentary",2011,0.509242695289207,0.0249024199843872
"139","Mitete","parliamentary",2011,0.469846076204895,0.0334765485141425
"140","Luena","parliamentary",2011,0.572288006111536,0.00233605873519106
