"","constit","election_type","year","party","candidate","pct_cast","won"
"68","Chilanga","parliamentary",2016,"United Party for National Development","Keith A Mukata",0.539956961009593,1
"69","Chilanga","parliamentary",2016,"Patriotic Front","Cosmas Moono",0.391399496662655,0
"70","Chilanga","parliamentary",2016,"Independent","George Cc Muleya",0.0189298610351242,0
"71","Chilanga","parliamentary",2016,"FDD","Morris Jempa",0.0137870664186454,0
"72","Chilanga","parliamentary",2016,"UNIP","Nkumbula Hamusokola",0.00922785133311449,0
"73","Chililabombwe","parliamentary",2016,"Patriotic Front","Richard Musukwa",0.585007173601148,1
"74","Chililabombwe","parliamentary",2016,"United Party for National Development","Trudy S Ng'andu",0.36409612625538,0
"75","Chililabombwe","parliamentary",2016,"Rainbow Party","Moses Mwelwa",0.0337517934002869,0
"76","Chilubi","parliamentary",2016,"Patriotic Front","Rosaria C Fundanga",0.532391235312798,1
"77","Chilubi","parliamentary",2016,"Independent","Stanislaus Chele",0.213837726262305,0
"78","Chilubi","parliamentary",2016,"Independent","Obius C Chisala",0.1276992696094,0
"79","Chilubi","parliamentary",2016,"United Party for National Development","Joseph Lukaki",0.0493410606541759,0
"80","Chilubi","parliamentary",2016,"FDD","Chola J Chisupa",0.0414020323912353,0
"81","Chilubi","parliamentary",2016,"Independent","Mary Pepala",0.00909018736106701,0
"82","Chimbamilonga","parliamentary",2016,"Patriotic Front","Hastings Chansa",0.61260180566955,1
"83","Chimbamilonga","parliamentary",2016,"United Party for National Development","Brian Sikazwe",0.304943493907444,0
"84","Chimbamilonga","parliamentary",2016,"FDD","Gilbert C Kabuta",0.0394595618410253,0
"85","Chimbamilonga","parliamentary",2016,"Independent","Martin Zimba",0.0224130311257024,0
"86","Chimwemwe","parliamentary",2016,"Independent","Elias M Mwila",0.455023997522836,1
"87","Chimwemwe","parliamentary",2016,"Patriotic Front","Musenge L Mwenya",0.282117974918718,0
"88","Chimwemwe","parliamentary",2016,"United Party for National Development","Ronald Manenga",0.221179749187181,0
"89","Chimwemwe","parliamentary",2016,"Rainbow Party","Ignatius Nkonde",0.00733859730608453,0
"90","Chimwemwe","parliamentary",2016,"FDD","Edward Mwansa",0.00724570366929865,0
"91","Chingola","parliamentary",2016,"Patriotic Front","Matthew Nkhuwa",0.468839677297092,1
"92","Chingola","parliamentary",2016,"United Party for National Development","Donald Chishika",0.357734582272998,0
"93","Chingola","parliamentary",2016,"NAREP","Chipoka Mulenga",0.0936163300665981,0
"94","Chingola","parliamentary",2016,"Rainbow Party","Mcdonald Mulongoti",0.0423682928149873,0
"95","Chingola","parliamentary",2016,"FDD","Reuben Chipemba",0.0147815257999892,0
"96","Chinsali","parliamentary",2016,"Patriotic Front","Kalalwe Mukosa",0.813164287883389,1
"97","Chinsali","parliamentary",2016,"Rainbow Party","Kapasa A Kalulu",0.0797525053143031,0
"98","Chinsali","parliamentary",2016,"United Party for National Development","Beddah Kabombo",0.0480944427573641,0
"99","Chinsali","parliamentary",2016,"UNIP","Henry Kampamba",0.0171955663528697,0
"100","Chinsali","parliamentary",2016,"FDD","Bwlaya Ng'andu",0.0157910719708473,0
"101","Chipangali","parliamentary",2016,"Patriotic Front","Vincent Mwale",0.613255102884059,1
"102","Chipangali","parliamentary",2016,"United Party for National Development","Champion C Tembo",0.161722171721345,0
"103","Chipangali","parliamentary",2016,"Movement for Multi-Party Democracy","Ezra B Banda",0.135856540781754,0
"104","Chipangali","parliamentary",2016,"Rainbow Party","Harrison Phiri",0.0557805140071069,0
"105","Chipata Central","parliamentary",2016,"Patriotic Front","Moses Mawere",0.539472126878921,1
"106","Chipata Central","parliamentary",2016,"Movement for Multi-Party Democracy","Mtolo R Phiri",0.268522902118594,0
"107","Chipata Central","parliamentary",2016,"United Party for National Development","Nedson Undi",0.134424192212096,0
"108","Chipata Central","parliamentary",2016,"UNIP","Watson Lungu",0.0121612025091727,0
"109","Chipata Central","parliamentary",2016,"Rainbow Party","Dorcas Nachangwe",0.00878802225115398,0
"110","Chipata Central","parliamentary",2016,"FDD","Mumamba P Chungu",0.00804828973843058,0
"111","Chipili","parliamentary",2016,"Independent","Jewis Chabi",0.520072560927518,1
"112","Chipili","parliamentary",2016,"Patriotic Front","Davies Mwila",0.43946683492389,0
"113","Chipili","parliamentary",2016,"United Party for National Development","Kenneth Ng'ona",0.0111996214212477,0
"114","Chipili","parliamentary",2016,"Rainbow Party","Rosalyn C Mulenga",0.0109630097010805,0
"115","Chirundu","parliamentary",2016,"United Party for National Development","Douglas M Syakalima",0.718051785341407,1
"116","Chirundu","parliamentary",2016,"Patriotic Front","Workwell Siamaili",0.264669033201086,0
"117","Chisamba","parliamentary",2016,"United Party for National Development","Chushi C Kasanda",0.588029248215771,1
"118","Chisamba","parliamentary",2016,"Patriotic Front","Daniel Shikwesha",0.24396865011603,0
"119","Chisamba","parliamentary",2016,"Movement for Multi-Party Democracy","Naomi C Muteteka",0.0596786199045492,0
"120","Chisamba","parliamentary",2016,"Independent","Cyprian Kayewa",0.0570077499014843,0
"121","Chisamba","parliamentary",2016,"Rainbow Party","Ferdinand N Chipindi",0.0122159464074609,0
"122","Chisamba","parliamentary",2016,"FDD","Obrain E Hamweene",0.0080126100091948,0
"123","Chitambo","parliamentary",2016,"Patriotic Front","Remember C Mutale",0.804393981353272,1
"124","Chitambo","parliamentary",2016,"Movement for Multi-Party Democracy","Mushili A Malama",0.112803470876027,0
"125","Chitambo","parliamentary",2016,"United Party for National Development","Stanley Chibwana",0.0375703867811317,0
"126","Chitambo","parliamentary",2016,"FDD","Crawford K Mukando",0.017908243330564,0
"127","Choma Central","parliamentary",2016,"United Party for National Development","Cornelius Mweetwa",0.842285842848304,1
"128","Choma Central","parliamentary",2016,"Patriotic Front","Getrude Moono",0.0914562123853985,0
"129","Choma Central","parliamentary",2016,"Independent","Ackim Musiya",0.0334289517595665,0
"130","Choma Central","parliamentary",2016,"Rainbow Party","Bernadette Hamweemba",0.0138927948703527,0
"131","Chongwe","parliamentary",2016,"Patriotic Front","Japhen Mwakalombe",0.507950313935473,1
"132","Chongwe","parliamentary",2016,"United Party for National Development","Sylvia T Masebo",0.430295452692235,0
"133","Chongwe","parliamentary",2016,"FDD","David Chulu",0.0310673806093882,0
"134","Dundumwezi","parliamentary",2016,"United Party for National Development","Edgar Sing'ombe",0.741865922496353,1
"135","Dundumwezi","parliamentary",2016,"Independent","Caster Kalilo",0.158368744846832,0
"136","Dundumwezi","parliamentary",2016,"Independent","Kenmax Hamoonga",0.0609500856218685,0
"137","Dundumwezi","parliamentary",2016,"Patriotic Front","Nchimunya P Maingaila",0.0156339189446312,0
"138","Dundumwezi","parliamentary",2016,"FDD","Oren Matyola",0.00161730195978943,0
"139","Feira","parliamentary",2016,"Independent","Stephen Miti",0.415002377555873,1
"140","Feira","parliamentary",2016,"Patriotic Front","Patrick A Ngoma",0.372919638611507,0
"141","Feira","parliamentary",2016,"United Party for National Development","Luke L Chikani",0.190798858773181,0
"142","Gwembe","parliamentary",2016,"United Party for National Development","Attractor M Chisangano",0.907388042736986,1
"143","Gwembe","parliamentary",2016,"Patriotic Front","Muleya M Ntuundu",0.0625142077744942,0
"144","Gwembe","parliamentary",2016,"FDD","Sebestian Mwiinga",0.0121391225278472,0
"145","Ikeleng'i","parliamentary",2016,"United Party for National Development","Elijah Muchima",0.766592920353982,1
"146","Ikeleng'i","parliamentary",2016,"Patriotic Front","Abiud Kawangu",0.142256637168142,0
"147","Ikeleng'i","parliamentary",2016,"ADD","Richard Kavwanda",0.0578171091445428,0
"148","Ikeleng'i","parliamentary",2016,"FDD","Winford S Luwi",0.0137905604719764,0
"149","Isoka","parliamentary",2016,"Patriotic Front","Malozo Sichone",0.70070820075952,1
"150","Isoka","parliamentary",2016,"United Party for National Development","Francis Siame",0.235861644257416,0
"151","Isoka","parliamentary",2016,"FDD","Gift Kapila",0.043005234527353,0
"152","Itezhitezhi","parliamentary",2016,"United Party for National Development","Herbert Shabula",0.801051909444317,1
"153","Itezhitezhi","parliamentary",2016,"Patriotic Front","Greyford Monde",0.103933226617882,0
"154","Itezhitezhi","parliamentary",2016,"Rainbow Party","Sheik S Chifuwe",0.0669258327616434,0
"155","Itezhitezhi","parliamentary",2016,"FDD","Irene Shilupizhi",0.00686027898467871,0
"156","Kabompo","parliamentary",2016,"United Party for National Development","Ambrose L Lufuma",0.728520411735873,1
"157","Kabompo","parliamentary",2016,"FDD","Kelvin N Masumba",0.139906169035782,0
"158","Kabompo","parliamentary",2016,"Patriotic Front","Daniel Kalenga",0.112457110846579,0
"159","Kabushi","parliamentary",2016,"Patriotic Front","Bowman Lusambo",0.751449648310173,1
"160","Kabushi","parliamentary",2016,"United Party for National Development","Ernest Lufunda",0.20964144793275,0
"161","Kabushi","parliamentary",2016,"FDD","Anthony M Chibuye",0.0151655515525819,0
"162","Kabushi","parliamentary",2016,"Rainbow Party","Dennis Kapukulo",0.00672499571109967,0
"163","Kabwata","parliamentary",2016,"Patriotic Front","Given Lubinda",0.562370902559497,1
"164","Kabwata","parliamentary",2016,"United Party for National Development","Mulenga Jc Sata",0.302757072294567,0
"165","Kabwata","parliamentary",2016,"Independent","Clement Tembo",0.105954198473282,0
"166","Kabwata","parliamentary",2016,"Independent","Michael S Zulu",0.0120880107768298,0
"167","Kabwata","parliamentary",2016,"Rainbow Party","Simon Mulilo",0.00378985181859003,0
"168","Kabwata","parliamentary",2016,"FDD","Joseph C Njovu",0.00355635383924562,0
"169","Kabwe Central","parliamentary",2016,"Patriotic Front","Tutwa S Ngulube",0.63614663256607,1
"170","Kabwe Central","parliamentary",2016,"United Party for National Development","Macdonald Mwamba",0.348081841432225,0
"171","Kafue","parliamentary",2016,"United Party for National Development","Mirriam B Chonya",0.501338380424496,1
"172","Kafue","parliamentary",2016,"Patriotic Front","Gibson Sinkala",0.433986751385697,0
"173","Kafue","parliamentary",2016,"Rainbow Party","Peter M Muunga",0.0219278085710423,0
"174","Kafue","parliamentary",2016,"UNIP","Anastazia Mutenda",0.015898337163715,0
"175","Kafulafuta","parliamentary",2016,"Patriotic Front","Joseph Kabamba",0.364724736048265,1
"176","Kafulafuta","parliamentary",2016,"United Party for National Development","Brian K Chitafu",0.307880844645551,0
"177","Kafulafuta","parliamentary",2016,"Independent","Jeffrey Mulebwa",0.165252639517345,0
"178","Kafulafuta","parliamentary",2016,"FDD","Benson Matowe",0.0610859728506787,0
"179","Kafulafuta","parliamentary",2016,"Independent","George W Mpombo",0.0474170437405732,0
"180","Kalabo Central","parliamentary",2016,"United Party for National Development","Chinga Miyutu",0.683180322189503,1
"181","Kalabo Central","parliamentary",2016,"Patriotic Front","Sikwibele R Mwapela",0.185865234713321,0
"182","Kalabo Central","parliamentary",2016,"FDD","Mubukwanu Kalaluka",0.074946590449795,0
"183","Kalabo Central","parliamentary",2016,"Independent","Kalowa Mooto",0.0348172527282176,0
"184","Kalomo Central","parliamentary",2016,"United Party for National Development","Harry Ks Kamboni",0.536074183901691,1
"185","Kalomo Central","parliamentary",2016,"Independent","Smart Muwele",0.412157917221622,0
"186","Kalomo Central","parliamentary",2016,"Patriotic Front","Douglas H Nengwa",0.0255321287663659,0
"187","Kalulushi","parliamentary",2016,"Patriotic Front","Kampamba M Chilumba",0.414205538688012,1
"188","Kalulushi","parliamentary",2016,"United Party for National Development","Everisto M Mwalilino",0.275584997086515,0
"189","Kalulushi","parliamentary",2016,"Independent","Benard Besa",0.234918882448554,0
"190","Kalulushi","parliamentary",2016,"Independent","Chikabala M Kaleta",0.0251786426227497,0
"191","Kalulushi","parliamentary",2016,"Rainbow Party","Haward Simpemba",0.0127579967491643,0
"192","Kalulushi","parliamentary",2016,"UDF","Wilson Kasenge",0.00745238752415126,0
"193","Kamfinsa","parliamentary",2016,"Patriotic Front","Elalio Musonda",0.566789862724393,1
"194","Kamfinsa","parliamentary",2016,"United Party for National Development","Stanley Mulenga",0.25373988032383,0
"195","Kamfinsa","parliamentary",2016,"Movement for Multi-Party Democracy","Webby Chipili",0.0855772615276311,0
"196","Kamfinsa","parliamentary",2016,"UDF","Dickson L Ng'andwe",0.0326029567053854,0
"197","Kamfinsa","parliamentary",2016,"Rainbow Party","Newton C Chabala",0.0268831397395283,0
"198","Kamfinsa","parliamentary",2016,"FDD","Bright Lwiche",0.0131115804294263,0
