"","constit","election_type","year","party","candidate","pct_cast","won"
"71","Chifubu","parliamentary",2011,"UPND","Thomson  Siwale",0.0386311454499071,0
"72","Chifunabuli","parliamentary",2011,"Patriotic Front","Andrew  Mwali",0.669543516689196,1
"73","Chifunabuli","parliamentary",2011,"MMD","Kapekele  Chileya",0.271810335863575,0
"74","Chifunabuli","parliamentary",2011,"ZAD","Theophano  Mwewa",0.0558386191119892,0
"75","Chifunabuli","parliamentary",2011,"ZED","Theophano  Mwewa",0.0558386191119892,0
"76","Chikankata","parliamentary",2011,"UPND","Munji  Habeenzu",0.629480821143826,1
"77","Chikankata","parliamentary",2011,"MMD","Trymore  Mwenda",0.255759934710277,0
"78","Chikankata","parliamentary",2011,"NMP","Chitambula  Halumamba",0.0477117207608764,0
"79","Chikankata","parliamentary",2011,"Independent","Webster  Mweene",0.0441333417038107,0
"80","Chikankata","parliamentary",2011,"Independent","Joseph  Nakaanga",0.0114257015506309,0
"81","Chikankata","parliamentary",2011,"Independent","Felix  Senka",0.00841232971310189,0
"82","Chilanga","parliamentary",2011,"MMD","Keith  Mukata",0.410233918128655,1
"83","Chilanga","parliamentary",2011,"UPND","Cosmas  Moono",0.275847953216374,0
"84","Chilanga","parliamentary",2011,"Patriotic Front","Geoffrey  Chumbwe",0.24766081871345,0
"85","Chilanga","parliamentary",2011,"Independent","Priscilla  Kamanga",0.0240350877192982,0
"86","Chilanga","parliamentary",2011,"NAREP","Joseph  Mushalika",0.0106432748538012,0
"87","Chilanga","parliamentary",2011,"ADD","Violet An Simwanza",0.00391812865497076,0
"88","Chilanga","parliamentary",2011,"UNIP","Nkumbula  Shamusokola",0.0035672514619883,0
"89","Chilanga","parliamentary",2011,"NMP","Mpasu  Mwanamulando",0.00169590643274854,0
"90","Chililabombwe","parliamentary",2011,"Patriotic Front","Esther M Banda",0.585634985106959,1
"91","Chililabombwe","parliamentary",2011,"MMD","Trudy S Ng`Andu",0.335025724343352,0
"92","Chililabombwe","parliamentary",2011,"UPND","Edward  Phiri",0.0388572975900352,0
"93","Chililabombwe","parliamentary",2011,"Independent","Victor  Kowa",0.0206246051087643,0
"94","Chililabombwe","parliamentary",2011,"ADD","Chani  Amatende",0.00722086830941421,0
"95","Chililabombwe","parliamentary",2011,"UNIP","Jubeke  Mwale",0.00300117339110028,0
"96","Chilubi","parliamentary",2011,"Patriotic Front","Obius  Chisala",0.679605668515096,1
"97","Chilubi","parliamentary",2011,"MMD","Rosario  Chailunga",0.279017962936632,0
"98","Chilubi","parliamentary",2011,"UPND","Rosemary  Chikonde",0.0218493767477132,0
"99","Chimbamilonga","parliamentary",2011,"Patriotic Front","Hastings S Chansa",0.541060197663971,1
"100","Chimbamilonga","parliamentary",2011,"MMD","Brian  Sikazwe",0.326954177897574,0
"101","Chimbamilonga","parliamentary",2011,"UPND","Gilbert  Kabuta",0.11644204851752,0
"102","Chimwemwe","parliamentary",2011,"Patriotic Front","Laban  Mwenya",0.693484577950495,1
"103","Chimwemwe","parliamentary",2011,"MMD","Ronald  Manenga",0.254315022931765,0
"104","Chimwemwe","parliamentary",2011,"UPND","Tebuho  Likando",0.0349052970626335,0
"105","Chimwemwe","parliamentary",2011,"Independent","Newton  Nkandu",0.0123936561285579,0
"106","Chingola","parliamentary",2011,"Patriotic Front","Joseph  Katema",0.529678864824496,1
"107","Chingola","parliamentary",2011,"MMD","Sevirine  Kazenene",0.217744585511576,0
